link/art,10%,20%,30%,40%,50%,60%,70%,80%,90%
10%,0.0941,0.0962,0.1004,0.1091,0.1096,0.1114,0.1117,0.1353,0.1179
20%,0.0995,0.0993,0.1032,0.1096,0.1118,0.115,0.1144,0.1317,0.1246
30%,0.1067,0.1048,0.1095,0.1146,0.1159,0.1151,0.1175,0.1357,0.113
40%,0.1163,0.1069,0.1171,0.1175,0.1229,0.1229,0.1202,0.1375,0.1128
50%,0.1236,0.1137,0.1276,0.1269,0.131,0.122,0.1201,0.1437,0.1189
60%,0.1344,0.1249,0.1347,0.1389,0.14,0.1289,0.1198,0.1592,0.0893
70%,0.1409,0.1365,0.1521,0.155,0.147,0.1343,0.1291,0.1541,0.0973
80%,0.1666,0.1598,0.1716,0.1609,0.1438,0.1406,0.1234,0.1467,0.0931
90%,0.1916,0.169,0.1625,0.1631,0.1537,0.1496,0.1196,0.1272,0.1142
