code,mean,map,pre,rec,f1
FlightPlan,0.810302734375,0.2,0.125,0.125,0.125
IFlightPlan,0.81103515625,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2222222222222222
ManagedDrone,0.7906901041666666,0,0,0,0
SimpleTakeoffFlightPlan,0.80126953125,0,0,0,0
FlightZoneManager2,0.8310004340277778,0.8444444444444444,0.5555555555555556,0.25,0.3448275862068966
CoordinatedLandingPattern,0.836181640625,1.0,0.5,0.5,0.5
LandingStrategy,0.78564453125,0,0,0,0
DroneSetupService,nan,0,0,0,0
FlightSimulator,nan,0,0,0,0
PhysicalDrone,0.86279296875,0,0,0,0
StatusDispatchThread,nan,0,0,0,0
CommandIds,nan,0,0,0,0
IDroneSetupServiceInstance,nan,0,0,0,0
AFMapViewOperations,nan,0,0,0,0
SynchronizationManager,0.8317057291666666,0,0,0,0
AFInfoPanel,nan,0,0,0,0
FlightInfoCreator,0.808349609375,0.5,0.5,0.25,0.3333333333333333
NVECSimulator,nan,0,0,0,0
FlightManagerServiceRemoteFacade,0.81036376953125,0.24285714285714285,0.25,0.2,0.22222222222222224
VirtualDrone,nan,0,0,0,0
IFlightManagerRemoteService,0.8720703125,0.5,0.5,0.1111111111111111,0.1818181818181818
IFlightManagerServiceInstance,0.8203125,0.16666666666666666,0.1111111111111111,0.1,0.10526315789473685
TakeoffTask,0.794677734375,0,0,0,0
FullMissionPlan,0.8170166015625,0.5,0.25,0.2857142857142857,0.26666666666666666
FlightInfo,0.8330078125,1.0,0.2,0.3333333333333333,0.25
IFlightDirector,0.8037109375,0,0,0,0
AFMapComponent,nan,0,0,0,0
DroneSetupServiceInstance,0.815673828125,0.25,0.25,0.16666666666666666,0.2
FlightManagerService,0.8717447916666666,0.5,0.3333333333333333,0.08333333333333333,0.13333333333333333
FlightPlanInfo,0.81748046875,0,0,0,0
LandTask,0.78759765625,0,0,0,0
AFAssignRouteComponent,0.8611653645833334,1.0,1.0,0.42857142857142855,0.6
DronologyActionExecutor,0.8170572916666666,0,0,0,0
AFInfoBox,0.82861328125,1.0,0.25,0.1111111111111111,0.15384615384615383
FlightPlan,0.810302734375,0.2,0.125,0.125,0.125
IFlightPlan,0.81103515625,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2222222222222222
ManagedDrone,0.7906901041666666,0,0,0,0
SimpleTakeoffFlightPlan,0.80126953125,0,0,0,0
FlightZoneManager2,0.8310004340277778,0.8444444444444444,0.5555555555555556,0.25,0.3448275862068966
CoordinatedLandingPattern,0.836181640625,1.0,0.5,0.5,0.5
LandingStrategy,0.78564453125,0,0,0,0
DroneSetupService,nan,0,0,0,0
FlightSimulator,nan,0,0,0,0
PhysicalDrone,0.86279296875,0,0,0,0
StatusDispatchThread,nan,0,0,0,0
CommandIds,nan,0,0,0,0
IDroneSetupServiceInstance,nan,0,0,0,0
AFMapViewOperations,nan,0,0,0,0
SynchronizationManager,0.8317057291666666,0,0,0,0
AFInfoPanel,nan,0,0,0,0
FlightInfoCreator,0.808349609375,0.5,0.5,0.25,0.3333333333333333
NVECSimulator,nan,0,0,0,0
FlightManagerServiceRemoteFacade,0.81036376953125,0.24285714285714285,0.25,0.2,0.22222222222222224
VirtualDrone,nan,0,0,0,0
IFlightManagerRemoteService,0.8720703125,0.5,0.5,0.1111111111111111,0.1818181818181818
IFlightManagerServiceInstance,0.8203125,0.16666666666666666,0.1111111111111111,0.1,0.10526315789473685
TakeoffTask,0.794677734375,0,0,0,0
FullMissionPlan,0.8170166015625,0.5,0.25,0.2857142857142857,0.26666666666666666
FlightInfo,0.8330078125,1.0,0.2,0.3333333333333333,0.25
IFlightDirector,0.8037109375,0,0,0,0
AFMapComponent,nan,0,0,0,0
DroneSetupServiceInstance,0.815673828125,0.25,0.25,0.16666666666666666,0.2
FlightManagerService,0.877197265625,0.5,0.5,0.08333333333333333,0.14285714285714285
FlightPlanInfo,0.81748046875,0,0,0,0
LandTask,0.78759765625,0,0,0,0
AFAssignRouteComponent,0.8611653645833334,1.0,1.0,0.42857142857142855,0.6
DronologyActionExecutor,0.8170572916666666,0,0,0,0
AFInfoBox,0.82861328125,1.0,0.25,0.1111111111111111,0.15384615384615383
FlightPlan,0.810302734375,0.2,0.125,0.125,0.125
IFlightPlan,0.81103515625,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.2222222222222222
ManagedDrone,0.7906901041666666,0,0,0,0
SimpleTakeoffFlightPlan,0.80126953125,0,0,0,0
FlightZoneManager2,0.8310004340277778,0.8444444444444444,0.5555555555555556,0.25,0.3448275862068966
CoordinatedLandingPattern,0.836181640625,1.0,0.5,0.5,0.5
LandingStrategy,0.78564453125,0,0,0,0
DroneSetupService,nan,0,0,0,0
FlightSimulator,nan,0,0,0,0
PhysicalDrone,0.86279296875,0,0,0,0
StatusDispatchThread,nan,0,0,0,0
CommandIds,nan,0,0,0,0
IDroneSetupServiceInstance,nan,0,0,0,0
AFMapViewOperations,nan,0,0,0,0
SynchronizationManager,0.8317057291666666,0,0,0,0
AFInfoPanel,nan,0,0,0,0
FlightInfoCreator,0.808349609375,0.5,0.5,0.25,0.3333333333333333
NVECSimulator,nan,0,0,0,0
FlightManagerServiceRemoteFacade,0.81036376953125,0.24285714285714285,0.25,0.2,0.22222222222222224
VirtualDrone,nan,0,0,0,0
IFlightManagerRemoteService,0.87744140625,0,0,0,0
IFlightManagerServiceInstance,0.8203125,0.16666666666666666,0.1111111111111111,0.1,0.10526315789473685
TakeoffTask,0.794677734375,0,0,0,0
FullMissionPlan,0.8170166015625,0.5,0.25,0.2857142857142857,0.26666666666666666
FlightInfo,0.8330078125,1.0,0.2,0.3333333333333333,0.25
IFlightDirector,0.8037109375,0,0,0,0
AFMapComponent,nan,0,0,0,0
DroneSetupServiceInstance,0.815673828125,0.25,0.25,0.16666666666666666,0.2
FlightManagerService,0.877197265625,0.5,0.5,0.08333333333333333,0.14285714285714285
FlightPlanInfo,0.81748046875,0,0,0,0
LandTask,0.78759765625,0,0,0,0
AFAssignRouteComponent,0.8611653645833334,1.0,1.0,0.42857142857142855,0.6
DronologyActionExecutor,0.8170572916666666,0,0,0,0
AFInfoBox,0.82861328125,1.0,0.25,0.1111111111111111,0.15384615384615383
