code,mean,map,pre,rec,f1
DroneVoltageSimulator,0.5888899138995579,1.0,0.2857142857142857,1.0,0.4444444444444445
SimpleSimulator,0.627036526799202,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.13333333333333333
DronologyMonitoringManager,0.7331224679946899,0.5,0.3333333333333333,1.0,0.5
SetMonitoringFrequencyCommand,0.560504694779714,0.5,0.16666666666666666,0.25,0.2
WriteDispatcher,0.566430545770205,0,0,0,0
VirtualDrone,0.7172863859879343,0.6472222222222223,0.2631578947368421,0.4166666666666667,0.3225806451612903
WatchServiceRunner,0.5117290690541267,0,0,0,0
InfoNotification,0.6291565299034119,0,0,0,0
DispatchQueueManager,0.6303081700676366,0.07692307692307693,0.05263157894736842,0.16666666666666666,0.08
ILogger,0.5790633261203766,0.5,0.5,0.5,0.5
IMonitoringDataHandler,0.522516705095768,0.5,0.125,1.0,0.2222222222222222
RemoteManager,0.6041411757469177,0,0,0,0
IDroneMonitoringServiceInstance,0.6325053175290426,0.5,0.3333333333333333,0.25,0.28571428571428575
AFMissionOperations,0.7613380948702494,0,0,0,0
DroneMonitoringService,0.6301259127530184,0.41666666666666663,0.18181818181818182,0.5,0.26666666666666666
DroneFleetManager,0.5419963995615641,1.0,0.3333333333333333,0.125,0.18181818181818182
MissionPlanningService,0.6947453900387413,1.0,0.05263157894736842,0.3333333333333333,0.09090909090909091
ManagedDrone,0.6239865190453,0.13333333333333333,0.1111111111111111,0.16666666666666666,0.13333333333333333
IMissionPlanningServiceInstance,0.6619737639146692,0.07142857142857142,0.058823529411764705,0.5,0.10526315789473684
IRemoteManager,0.578781008720398,0,0,0,0
SimpleMonitor,0.5706732670466105,0,0,0,0
MissionPlan,0.6111365010341009,0.3333333333333333,0.08333333333333333,0.5,0.14285714285714285
IManagedDroneStateChangeListener,0.5057623982429504,0,0,0,0
DroneSetupServiceRemoteFacade,0.6739727020263672,1.0,0.06666666666666667,0.2,0.1
MissionController,0.6354683297021049,1.0,0.07142857142857142,0.5,0.125
IMissionPlanningRemoteService,0.7156362192971366,0.41666666666666663,0.2857142857142857,1.0,0.4444444444444445
