link/art,10%,20%,30%,40%,50%,60%,70%,80%,90%
10%,0.136,0.1476,0.1589,0.1671,0.1586,0.181,0.1945,0.2296,0.2939
20%,0.1425,0.1569,0.1692,0.1718,0.1626,0.1775,0.1921,0.233,0.2694
30%,0.1532,0.1669,0.1816,0.1726,0.1628,0.1825,0.1964,0.2279,0.2602
40%,0.1693,0.1722,0.1765,0.1772,0.161,0.1872,0.2016,0.2351,0.2395
50%,0.185,0.1847,0.1813,0.1817,0.1616,0.1894,0.1982,0.242,0.2543
60%,0.1954,0.1834,0.1954,0.1885,0.1772,0.2099,0.1908,0.2415,0.2482
70%,0.1999,0.2047,0.2137,0.1923,0.1851,0.1857,0.1932,0.2549,0.266
80%,0.205,0.191,0.2142,0.2028,0.1722,0.1885,0.2293,0.2042,0.267
90%,0.2257,0.2051,0.2113,0.2121,0.2078,0.2114,0.2202,0.1995,0.2745
