approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.7027),(0.7805|0.8312),0.3589,0.1135,0.4297,0.1796
all_code_uc_chains_bge,15%,(1.0000|0.7027),(0.7805|0.8312),0.3653,0.1285,0.3887,0.1931
all_code_uc_chains_bge,10%,(1.0000|0.7027),(0.7805|0.8312),0.3707,0.1507,0.3319,0.2073
all_code_uc_chains_miniLM,20%,(1.0000|0.6937),(0.8000|0.8312),0.3629,0.1155,0.4258,0.1817
all_code_uc_chains_miniLM,15%,(1.0000|0.6937),(0.8000|0.8312),0.3655,0.1281,0.3716,0.1905
all_code_uc_chains_miniLM,10%,(1.0000|0.6937),(0.8000|0.8312),0.3672,0.1529,0.3246,0.2079
weighted_code_uc_chains_bge,20%,(1.0000|0.7027),(0.7805|0.8312),0.3571,0.1203,0.4514,0.1899
weighted_code_uc_chains_bge,15%,(1.0000|0.7027),(0.7805|0.8312),0.3577,0.1356,0.4083,0.2036
weighted_code_uc_chains_bge,10%,(1.0000|0.7027),(0.7805|0.8312),0.3560,0.1627,0.3595,0.2240
weighted_code_uc_chains_miniLM,20%,(1.0000|0.6937),(0.8000|0.8312),0.3457,0.1147,0.4225,0.1804
weighted_code_uc_chains_miniLM,15%,(1.0000|0.6937),(0.8000|0.8312),0.3504,0.1267,0.3800,0.1900
weighted_code_uc_chains_miniLM,10%,(1.0000|0.6937),(0.8000|0.8312),0.3469,0.1552,0.3278,0.2106
