code,mean,map,pre,rec,f1
IFlightManagerRemoteService,0.83154296875,0.5,0.3333333333333333,0.125,0.18181818181818182
FlightManagerServiceRemoteFacade,0.81787109375,1.0,0.3333333333333333,0.125,0.18181818181818182
ServiceIds,0.93994140625,1.0,1.0,1.0,1.0
ManagedHashTableList,0.84912109375,1.0,1.0,0.3333333333333333,0.5
AFControlsComponent,0.81298828125,1.0,0.3333333333333333,1.0,0.5
FlightInfoCreator,0.82177734375,1.0,0.25,0.25,0.25
FlightManagerService,0.7998046875,1.0,0.5,0.1111111111111111,0.1818181818181818
FlightZoneManager2,0.80322265625,1.0,1.0,0.07692307692307693,0.14285714285714288
IFlightManagerServiceInstance,0.8157552083333334,0.5,0.3333333333333333,0.125,0.18181818181818182
IMissionPlanningServiceInstance,0.848388671875,1.0,0.5,0.5,0.5
MissionPlanningServiceInstance,0.87158203125,1.0,0.5,0.5,0.5
UAVMissionPlan,0.8359375,1.0,1.0,1.0,1.0
AFInfoPanel,0.8560791015625,0.8333333333333333,0.5,0.4,0.4444444444444445
AFMapViewOperations,0.79833984375,0,0,0,0
FlightInfo,0.83935546875,1.0,1.0,0.3333333333333333,0.5
AFFollowBar,0.8462890625,0,0,0,0
MissionPlanningService,0.98486328125,1.0,1.0,0.3333333333333333,0.5
FlightPlan,nan,0,0,0,0
DroneSetupService,0.81787109375,0,0,0,0
IFlightPlan,0.814453125,0,0,0,0
IFlightRoute,nan,0,0,0,0
CoordinatedTakeoffPattern,nan,0,0,0,0
UAVProxy,nan,0,0,0,0
FlightPlanInfo,0.82958984375,0,0,0,0
AFMapComponent,nan,0,0,0,0
AFMainLayout,0.78857421875,1.0,1.0,0.14285714285714285,0.25
FlightRoute,nan,0,0,0,0
FRInfoPanel,0.80078125,0,0,0,0
ManagedDrone,nan,0,0,0,0
DronologyActionExecutor,0.8345703125,0,0,0,0
AFAssignRouteComponent,0.81103515625,1.0,1.0,0.5,0.6666666666666666
FullMissionPlan,0.810302734375,1.0,0.5,0.3333333333333333,0.4
AFDragLayout,0.8352864583333334,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
FlightMissionManager,0.80908203125,0,0,0,0
AFInfoBox,0.82568359375,1.0,0.5,0.125,0.2
IFlightManagerRemoteService,0.83154296875,0.5,0.3333333333333333,0.125,0.18181818181818182
FlightManagerServiceRemoteFacade,0.81787109375,1.0,0.3333333333333333,0.125,0.18181818181818182
ServiceIds,0.93994140625,1.0,1.0,1.0,1.0
ManagedHashTableList,0.84912109375,1.0,1.0,0.3333333333333333,0.5
AFControlsComponent,0.81298828125,1.0,0.3333333333333333,1.0,0.5
FlightInfoCreator,0.82177734375,1.0,0.25,0.25,0.25
FlightManagerService,0.7998046875,1.0,0.5,0.1111111111111111,0.1818181818181818
FlightZoneManager2,0.80322265625,1.0,1.0,0.07692307692307693,0.14285714285714288
IFlightManagerServiceInstance,0.8157552083333334,0.5,0.3333333333333333,0.125,0.18181818181818182
IMissionPlanningServiceInstance,0.848388671875,1.0,0.5,0.5,0.5
MissionPlanningServiceInstance,0.87158203125,1.0,0.5,0.5,0.5
UAVMissionPlan,0.8359375,1.0,1.0,1.0,1.0
AFInfoPanel,0.8560791015625,0.8333333333333333,0.5,0.4,0.4444444444444445
AFMapViewOperations,0.79833984375,0,0,0,0
FlightInfo,0.83935546875,1.0,1.0,0.3333333333333333,0.5
AFFollowBar,0.8462890625,0,0,0,0
MissionPlanningService,0.98486328125,1.0,1.0,0.3333333333333333,0.5
FlightPlan,nan,0,0,0,0
DroneSetupService,0.81787109375,0,0,0,0
IFlightPlan,0.814453125,0,0,0,0
IFlightRoute,nan,0,0,0,0
CoordinatedTakeoffPattern,nan,0,0,0,0
UAVProxy,nan,0,0,0,0
FlightPlanInfo,0.82958984375,0,0,0,0
AFMapComponent,nan,0,0,0,0
AFMainLayout,0.78857421875,1.0,1.0,0.14285714285714285,0.25
FlightRoute,nan,0,0,0,0
FRInfoPanel,0.80078125,0,0,0,0
ManagedDrone,nan,0,0,0,0
DronologyActionExecutor,0.8345703125,0,0,0,0
AFAssignRouteComponent,0.81103515625,1.0,1.0,0.5,0.6666666666666666
FullMissionPlan,0.810302734375,1.0,0.5,0.3333333333333333,0.4
AFDragLayout,0.8352864583333334,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
FlightMissionManager,0.80908203125,0,0,0,0
AFInfoBox,0.82568359375,1.0,0.5,0.125,0.2
IFlightManagerRemoteService,0.83154296875,0.5,0.3333333333333333,0.125,0.18181818181818182
FlightManagerServiceRemoteFacade,0.81787109375,1.0,0.3333333333333333,0.125,0.18181818181818182
ServiceIds,0.93994140625,1.0,1.0,1.0,1.0
ManagedHashTableList,0.84912109375,1.0,1.0,0.3333333333333333,0.5
AFControlsComponent,0.81298828125,1.0,0.3333333333333333,1.0,0.5
FlightInfoCreator,0.82177734375,1.0,0.25,0.25,0.25
FlightManagerService,0.7998046875,1.0,0.5,0.1111111111111111,0.1818181818181818
FlightZoneManager2,0.80322265625,1.0,1.0,0.07692307692307693,0.14285714285714288
IFlightManagerServiceInstance,0.8157552083333334,0.5,0.3333333333333333,0.125,0.18181818181818182
IMissionPlanningServiceInstance,0.848388671875,1.0,0.5,0.5,0.5
MissionPlanningServiceInstance,0.87158203125,1.0,0.5,0.5,0.5
UAVMissionPlan,0.8359375,1.0,1.0,1.0,1.0
AFInfoPanel,0.8560791015625,0.8333333333333333,0.5,0.4,0.4444444444444445
AFMapViewOperations,0.79833984375,0,0,0,0
FlightInfo,0.83935546875,1.0,1.0,0.3333333333333333,0.5
AFFollowBar,0.8462890625,0,0,0,0
MissionPlanningService,0.98486328125,1.0,1.0,0.3333333333333333,0.5
FlightPlan,nan,0,0,0,0
DroneSetupService,0.81787109375,0,0,0,0
IFlightPlan,0.814453125,0,0,0,0
IFlightRoute,nan,0,0,0,0
CoordinatedTakeoffPattern,nan,0,0,0,0
UAVProxy,nan,0,0,0,0
FlightPlanInfo,0.82958984375,0,0,0,0
AFMapComponent,nan,0,0,0,0
AFMainLayout,0.78857421875,1.0,1.0,0.14285714285714285,0.25
FlightRoute,nan,0,0,0,0
FRInfoPanel,0.80078125,0,0,0,0
ManagedDrone,nan,0,0,0,0
DronologyActionExecutor,0.8345703125,0,0,0,0
AFAssignRouteComponent,0.81103515625,1.0,1.0,0.5,0.6666666666666666
FullMissionPlan,0.810302734375,1.0,0.5,0.3333333333333333,0.4
AFDragLayout,0.8352864583333334,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
FlightMissionManager,0.80908203125,0,0,0,0
AFInfoBox,0.82568359375,1.0,0.5,0.125,0.2
