code,mean,map,pre,rec,f1
SynchronizationPoint,0.5132904350757599,0.5,0.16666666666666666,1.0,0.2857142857142857
SetGroundSpeedCommand,0.5175464451313019,0,0,0,0
SyncTask,0.6048038303852081,1.0,0.25,1.0,0.4
IUAVProxy,0.5267807890971502,0,0,0,0
IStartstrategy,0.5162180662155151,0.14285714285714285,0.125,0.3333333333333333,0.18181818181818182
AFEmergencyComponent,0.7001567681630453,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
SetVelocityCommand,0.5120402787412915,0,0,0,0
CollisionInfo,0.517773762345314,0,0,0,0
MonitoringDispatchThread,0.6379955808321635,1.0,0.3333333333333333,1.0,0.5
JSONMissionPlanReader,0.6886689066886902,1.0,0.3333333333333333,1.0,0.5
WaypointTask,0.8257189393043518,0,0,0,0
IDroneMonitoringServiceInstance,0.55613774061203,1.0,0.4,1.0,0.5714285714285715
DroneMonitoringServiceRemoteFacade,0.6214266419410706,0.5,0.2,1.0,0.33333333333333337
SimpleMonitor,0.5334090888500214,0,0,0,0
IDroneMonitoringRemoteService,0.6129875183105469,0.5,0.5,1.0,0.6666666666666666
Waypoint,0.7789224088191986,1.0,1.0,0.5,0.6666666666666666
IDroneCommandHandler,0.5690999825795492,0,0,0,0
DistanceChecker,0.4925401310125987,0,0,0,0
NVector,0.5227188978876386,0,0,0,0
IMissionTask,0.6059322158495585,1.0,0.3333333333333333,0.5,0.4
WorkspaceInitializer,0.4817114844918251,0,0,0,0
SetGimbalTargetCommand,0.5441032350063324,1.0,0.5,0.5,0.5
ReadDispatcher,0.5506996512413025,0,0,0,0
PatternTask,0.5933678831372943,1.0,0.2857142857142857,1.0,0.4444444444444445
VirtualDrone,0.6827026009559631,1.0,0.75,0.3,0.4285714285714285
UAVProxy,0.5173078080018362,0,0,0,0
CoordinatedTakeoffPattern,0.520045246396746,0.3333333333333333,0.14285714285714285,0.5,0.22222222222222224
IFlightPattern,0.6682044863700867,1.0,0.3333333333333333,0.5,0.4
