code,mean,map,pre,rec,f1
DroneConnectorService,0.6560872395833334,0.3333333333333333,0.3333333333333333,0.5,0.4
DronologyConstants,0.6414794921875,0,0,0,0
TakeoffCommand,0.67724609375,0,0,0,0
SetMonitoringFrequencyCommand,0.64423828125,0,0,0,0
RemoteRMIRemoteObject,0.6173828125,0,0,0,0
FRTableDisplay,0.62373046875,0,0,0,0
SendToSubscriberCallable,0.672607421875,0.2,0.16666666666666666,1.0,0.2857142857142857
PVector,0.6322428385416666,0,0,0,0
IDroneMonitoringServiceInstance,0.6605631510416666,0.26666666666666666,0.3333333333333333,1.0,0.5
MissionController,0.6935221354166666,0.5833333333333333,0.6666666666666666,1.0,0.8
DronologyServiceRunner,0.63800048828125,0.125,0.125,0.2,0.15384615384615385
ILogger,0.63662109375,0.2,0.2,0.5,0.28571428571428575
DroneFlightStateManager,0.6609700520833334,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
SetGroundSpeedCommand,0.6902669270833334,0,0,0,0
RuntimeDroneTypes,0.65576171875,0,0,0,0
DroneFleetManager,0.67822265625,0.5,0.5,0.125,0.2
DroneMonitoringServiceRemoteFacade,0.6873046875,0.2,0.2,1.0,0.33333333333333337
WorkspaceInitializer,0.64013671875,0,0,0,0
TaskList,0.7009765625,0.5,0.4,1.0,0.5714285714285715
IMovementSimulator,0.6609700520833334,0,0,0,0
PhysicalDrone,0.6697265625,0,0,0,0
GroundstationConnector,0.69775390625,0,0,0,0
IManagedDroneStateChangeListener,0.70830078125,0,0,0,0
WaypointTask,0.810546875,0,0,0,0
SimpleMonitor,0.6394391741071429,0,0,0,0
IDrone,0.673828125,0,0,0,0
SetStateFrequencyCommand,0.64306640625,0,0,0,0
NvecInterpolator,0.643798828125,0.2,0.16666666666666666,0.3333333333333333,0.2222222222222222
FlightRouteInfo,0.7214704241071429,0.26785714285714285,0.2857142857142857,1.0,0.4444444444444445
WriteDispatcher,0.6672014508928571,0,0,0,0
FlightRouteplanningServiceRemoteFacade,0.6872209821428571,0.14285714285714285,0.14285714285714285,0.5,0.22222222222222224
ReadDispatcher,0.6436089409722222,0,0,0,0
FlyingFieldDemoScript,0.66015625,0,0,0,0
FlightRoutePersistenceProvider,0.7089029947916666,0,0,0,0
FREditModeController,0.68701171875,1.0,0.25,0.5,0.3333333333333333
IFlightDirector,0.6939453125,0,0,0,0
SetVelocityCommand,0.6729213169642857,0,0,0,0
PatternTask,0.67421875,0.325,0.4,1.0,0.5714285714285715
SimpleSimulator,0.6418185763888888,0.26785714285714285,0.2222222222222222,0.6666666666666666,0.3333333333333333
FlightRouteplanningService,0.71142578125,0.75,0.4,0.6666666666666666,0.5
IFlightRouteplanningServiceInstance,0.7232421875,0.25,0.2,0.5,0.28571428571428575
MissionPlanningServiceRemoteFacade,0.715234375,0,0,0,0
SyncConstants,0.6968994140625,0,0,0,0
AssignedDrone,0.67138671875,0,0,0,0
DelayTask,0.71181640625,0.25,0.2,1.0,0.33333333333333337
CoordinatedLandingPattern,0.69853515625,0.3333333333333333,0.2,0.5,0.28571428571428575
IDroneMonitoringRemoteService,0.7014973958333334,0.3333333333333333,0.3333333333333333,1.0,0.5
IFlightPattern,0.7117513020833334,0.3333333333333333,0.16666666666666666,0.5,0.25
FRDeleteRouteConfirmation,0.72052001953125,0.14285714285714285,0.125,1.0,0.2222222222222222
DistanceChecker,0.6676025390625,0,0,0,0
EmergencyStopCommand,0.7233537946428571,0,0,0,0
FlightSimulator,0.6602957589285714,0.16666666666666666,0.14285714285714285,0.3333333333333333,0.2
FlightRoute,0.7564174107142857,0.3595238095238095,0.42857142857142855,1.0,0.6
IMissionPlan,0.6921875,0.25,0.2,0.5,0.28571428571428575
LandTask,0.6795654296875,0.5,0.125,1.0,0.2222222222222222
MissionPlan,0.68316650390625,0.125,0.125,0.5,0.2
CoordinatedTakeoffPattern,0.7177036830357143,0.25,0.14285714285714285,0.5,0.22222222222222224
IFlightRoute,0.7101004464285714,0.30952380952380953,0.2857142857142857,1.0,0.4444444444444445
LayerDescriptor,0.6409505208333334,0,0,0,0
IDroneCommand,0.6671549479166666,0,0,0,0
TakeoffAltitudeWindow,0.76708984375,0,0,0,0
CollisionInfo,0.6796875,0,0,0,0
