code,mean,map,pre,rec,f1
SynchronizationPoint,0.5075731192316327,0.16666666666666666,0.14285714285714285,1.0,0.25
SetGroundSpeedCommand,0.520756459236145,0,0,0,0
SyncTask,0.5886178414026896,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
IUAVProxy,0.4936620857980516,0,0,0,0
IStartstrategy,0.5298500210046768,0,0,0,0
AFEmergencyComponent,0.6265269592404366,0.39285714285714285,0.25,0.6666666666666666,0.36363636363636365
SetVelocityCommand,0.4987749487161636,0,0,0,0
CollisionInfo,0.4717455357313156,0,0,0,0
MonitoringDispatchThread,0.5613990128040314,0.1,0.1,1.0,0.18181818181818182
JSONMissionPlanReader,0.6064722405539619,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998
WaypointTask,0.7099403262138366,0,0,0,0
IDroneMonitoringServiceInstance,0.55613774061203,0.325,0.4,1.0,0.5714285714285715
DroneMonitoringServiceRemoteFacade,0.5937818785508474,0.2,0.16666666666666666,1.0,0.2857142857142857
SimpleMonitor,0.5408409357070922,0,0,0,0
IDroneMonitoringRemoteService,0.5634638667106628,0.25,0.2,1.0,0.33333333333333337
Waypoint,0.5900893997062336,0.14090909090909093,0.18181818181818182,0.5,0.26666666666666666
IDroneCommandHandler,0.5518606901168823,0,0,0,0
DistanceChecker,0.4559932202100754,0,0,0,0
LlaCoordinate,0.449411208430926,0.41666666666666663,0.3333333333333333,0.6666666666666666,0.4444444444444444
NVector,0.5174186527729034,0.5,0.125,0.5,0.2
IMissionTask,0.5470544934272766,0.1,0.1,0.5,0.16666666666666669
WorkspaceInitializer,0.4728087527411325,0,0,0,0
SetGimbalTargetCommand,0.5257338881492615,0.25,0.25,0.5,0.3333333333333333
ReadDispatcher,0.5334779620170593,0,0,0,0
PatternTask,0.6239197373390197,0.325,0.4,1.0,0.5714285714285715
VirtualDrone,0.5749009251594543,0.5074074074074074,0.3,0.3,0.3
UAVProxy,0.484620417867388,0,0,0,0
CoordinatedTakeoffPattern,0.5369416326284409,0.5,0.25,0.5,0.3333333333333333
IFlightPattern,0.6010909974575043,0.25,0.25,1.0,0.4
StatusDispatchThread,0.5735595713962208,0,0,0,0
DispatchQueueManager,0.5166374097267786,0.2,0.16666666666666666,0.2,0.1818181818181818
IMovementSimulator,0.4841690734028816,0,0,0,0
DroneSetupService,0.5638210681768564,0.16666666666666666,0.07692307692307693,0.14285714285714285,0.1
WatchServiceRunner,0.5040446817874908,0,0,0,0
CoordinatedLandingPattern,0.5323231481015682,0.14285714285714285,0.125,0.5,0.2
DronologyConstants,0.503323461328234,0,0,0,0
GroundstationConnector,0.47692663967609406,0.45,0.3333333333333333,0.4,0.3636363636363636
AFMapViewOperations,0.5986580491065979,0,0,0,0
RouteTask,0.610907793045044,0.14285714285714285,0.125,1.0,0.2222222222222222
EmergencyStopCommand,0.5963460973330906,0,0,0,0
IMissionPlan,0.583185963332653,0.14285714285714285,0.125,0.5,0.2
RuntimeDroneTypes,0.44346065521240235,0,0,0,0
ImageProvider,0.5670029520988464,0,0,0,0
LandTask,0.5543382267157236,0.5,0.16666666666666666,1.0,0.2857142857142857
AssignedDrone,0.4776930444770389,0,0,0,0
DelayTask,0.6323386430740356,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
TakeoffTask,0.6234634518623352,0.14285714285714285,0.1111111111111111,1.0,0.19999999999999998
RemindsConnector,0.591087794303894,0.2,0.2,1.0,0.33333333333333337
MissionHandler,0.5881877422332764,0.25,0.2,1.0,0.33333333333333337
TaskList,0.5889892697334289,0.75,0.4,1.0,0.5714285714285715
NvecInterpolator,0.5473650495211283,0,0,0,0
SimpleSimulator,0.5133334795633951,0,0,0,0
VaadinUIMapConstants,0.49103322128454846,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
SyncConstants,0.5179154972235361,0,0,0,0
DroneSetupServiceRemoteFacade,0.5471470824309758,0,0,0,0
DroneConnectorService,0.483959103624026,0,0,0,0
SynchronizationManager,0.5503095729010445,0.14285714285714285,0.14285714285714285,1.0,0.25
MissionPlan,0.5727151095867157,0.1,0.1,0.5,0.16666666666666669
PVector,0.5265065389020103,0.16666666666666666,0.14285714285714285,0.5,0.22222222222222224
MissionController,0.5710001985232035,0.1736111111111111,0.2222222222222222,1.0,0.3636363636363636
SetGimbalRotationCommand,0.5306531190872192,0,0,0,0
NavigationBar,0.578154781460762,0.5,0.1,1.0,0.18181818181818182
FlightRouteplanningService,0.6143535375595093,0.44285714285714284,0.375,1.0,0.5454545454545454
FRMapComponent,0.614825576543808,0,0,0,0
IManagedDroneStateChangeListener,0.5793563425540924,0,0,0,0
FlyingFieldDemoScript,0.5219813734292984,0,0,0,0
WriteDispatcher,0.4828470728614114,0,0,0,0
TakeoffCommand,0.5593434795737267,0,0,0,0
TakeoffAltitudeWindow,0.6127802644457135,0.3333333333333333,0.14285714285714285,1.0,0.25
AFControlsComponent,0.6437832845581902,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998
IStopStrategy,0.5394438803195953,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222
IFlightRouteplanningServiceInstance,0.6311093143054417,0.45,0.2857142857142857,1.0,0.4444444444444445
LandCommand,0.6092427849769593,0,0,0,0
FlightRouteplanningServiceRemoteFacade,0.5726649860541025,0.16666666666666666,0.16666666666666666,0.5,0.25
DroneFleetManager,0.42584699019789696,0.39285714285714285,0.25,0.25,0.25
CommandIds,0.5580614672766792,0,0,0,0
IDroneSetupRemoteService,0.48983038013631647,0,0,0,0
AFFollowBar,0.5941717525323232,0.14285714285714285,0.08333333333333333,1.0,0.15384615384615385
PhysicalDrone,0.5223579630255699,0.16666666666666666,0.125,0.09090909090909091,0.10526315789473685
LandingStrategy,0.6153448045253753,0,0,0,0
FlightPlanInfo,0.6468073676029841,0,0,0,0
AFInfoPanel,0.5323442816734314,0.20833333333333331,0.25,0.4,0.3076923076923077
NVECSimulator,0.5832478284835816,0,0,0,0
FlightSimulator,0.5198452845215797,0,0,0,0
DroneInitializationInfo,0.4964633047580719,0,0,0,0
FlightRoutePersistenceProvider,0.6076183716456095,0.5,0.1111111111111111,1.0,0.19999999999999998
MyUI,0.5048626482486724,0.325,0.2,0.2857142857142857,0.23529411764705882
UAVMissionPlan,0.5951531728108724,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998
FlightPlan,0.543451577425003,0.3333333333333333,0.16666666666666666,0.14285714285714285,0.15384615384615383
FlightMissionManager,0.611017720265822,0,0,0,0
FRControlsComponent,0.6376792564988136,0.25,0.125,0.3333333333333333,0.18181818181818182
FlightInfo,0.641603410243988,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.16666666666666666
MissionPlanningServiceInstance,0.706058394908905,0.1,0.1,0.5,0.16666666666666669
FREditModeController,0.5931288003921509,0,0,0,0
FlightInfoCreator,0.6446159482002258,0.1111111111111111,0.1,0.25,0.14285714285714288
FlightRouteInfo,0.6039091125130653,0.125,0.125,0.5,0.2
IFlightManagerServiceInstance,0.5896633538332853,0.23164983164983166,0.2727272727272727,0.375,0.3157894736842105
FRTableDisplay,0.5763943195343018,0,0,0,0
IFlightRoute,0.6561473906040192,0.125,0.125,0.5,0.2
MissionPlanningService,0.7329584002494812,0.1,0.1,0.3333333333333333,0.15384615384615383
FullMissionPlan,0.6107945640881857,0.2777777777777778,0.2222222222222222,0.6666666666666666,0.3333333333333333
FlightRoute,0.6123284697532654,0.2216931216931217,0.3,1.0,0.4615384615384615
IDroneSetupServiceInstance,0.48792643249034884,0,0,0,0
IPlanStatusChangeListener,0.5521382434027535,0.5,0.14285714285714285,0.3333333333333333,0.2
AFMainLayout,0.6076483428478241,0.6916666666666667,0.4,0.5714285714285714,0.47058823529411764
ManagedHashTableList,0.6546035349369049,0.1,0.1,0.3333333333333333,0.15384615384615383
DroneFlightStateManager,0.5541231234868368,0,0,0,0
MissionPlanningServiceRemoteFacade,0.643476152420044,0.5833333333333333,0.4,1.0,0.5714285714285715
ServiceIds,0.5815694994396634,0.2,0.1111111111111111,1.0,0.19999999999999998
SoloDirector,0.5976850854025947,0.125,0.1111111111111111,0.16666666666666666,0.13333333333333333
FRInfoPanel,0.6088746104921613,0,0,0,0
FRMetaInfo,0.5298518737157186,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222
FlightZoneManager2,0.5630356594920158,0.27579365079365076,0.375,0.23076923076923078,0.2857142857142857
AFMapComponent,0.5695109793118068,0.3873015873015873,0.42857142857142855,0.3,0.3529411764705882
IFlightDirector,0.5752225339412689,0,0,0,0
IMissionPlanningServiceInstance,0.6647924889217723,0.125,0.09090909090909091,0.5,0.15384615384615385
IDrone,0.5479567468166351,0,0,0,0
DroneSetupServiceInstance,0.5369050614535809,0.3333333333333333,0.125,0.16666666666666666,0.14285714285714288
SimpleTakeoffFlightPlan,0.5835183154452931,0,0,0,0
AFInfoBox,0.5709080795447031,0,0,0,0
AFDragLayout,0.6028837362925211,0.2111111111111111,0.2222222222222222,0.6666666666666666,0.3333333333333333
AFAssignRouteComponent,0.5355833087648664,0.6666666666666666,0.2857142857142857,0.5,0.36363636363636365
IFlightManagerRemoteService,0.5826497748494148,0.2,0.125,0.125,0.125
ManagedDrone,0.5555147188050407,0,0,0,0
IMissionPlanningRemoteService,0.6455540657043457,0.5,0.3333333333333333,1.0,0.5
IFlightPlan,0.6208027667469449,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.13333333333333333
FlightManagerService,0.6060294389724732,0.375,0.2,0.2222222222222222,0.2105263157894737
AFMissionOperations,0.5856147408485413,0.3333333333333333,0.14285714285714285,1.0,0.25
FRMainLayout,0.632909913857778,1.0,0.1111111111111111,0.16666666666666666,0.13333333333333333
FRInfoBox,0.6193010111649832,0,0,0,0
FlightManagerServiceRemoteFacade,0.6375230659138073,0,0,0,0
