code,mean,map,pre,rec,f1
SetGimbalTargetCommand,0.7509353458881378,0.5,0.16666666666666666,0.5,0.25
PVector,0.7490546504656473,0,0,0,0
GoToCommand,0.7457055896520615,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.7160344038690839,0.25,0.14285714285714285,1.0,0.25
WaypointTask,0.819236695766449,0,0,0,0
TakeoffCommand,0.7647640466690063,0,0,0,0
VaadinUIMapConstants,0.7420523166656494,0,0,0,0
IDroneMonitoringServiceInstance,0.749607503414154,0.3333333333333333,0.25,0.5,0.3333333333333333
CollisionInfo,0.7550338506698608,0,0,0,0
DroneConnectorService,0.7133905738592148,0,0,0,0
SetGroundSpeedCommand,0.7601790163252089,0,0,0,0
NVector,0.722271203994751,0,0,0,0
SendToSubscriberCallable,0.7519054710865021,0.5,0.25,1.0,0.4
IDroneMonitoringRemoteService,0.7239213415554592,0.16666666666666666,0.14285714285714285,1.0,0.25
RemoteManager,0.7271525412797928,0,0,0,0
SimpleMonitor,0.7590952515602112,0,0,0,0
SynchronizationPoint,0.7263474265734354,0.16666666666666666,0.1111111111111111,1.0,0.19999999999999998
ReadDispatcher,0.7524049282073975,0,0,0,0
GroundstationConnector,0.7417692475848727,0,0,0,0
LlaCoordinate,0.7476042773988512,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.16666666666666666
DistanceChecker,0.7199426194032034,0,0,0,0
DroneFleetManager,0.735947772860527,0.25,0.25,0.125,0.16666666666666666
FRControlsComponent,0.7570804556210836,0.2,0.1111111111111111,0.3333333333333333,0.16666666666666666
MyUI,0.7385557770729065,0.25,0.2,0.14285714285714285,0.16666666666666666
UAVProxy,0.7658141085079738,0,0,0,0
IStartstrategy,0.7338980883359909,0,0,0,0
PatternTask,0.7523873448371887,0.5833333333333333,0.6666666666666666,1.0,0.8
FRTableDisplay,0.7621625065803528,0.5,0.25,0.3333333333333333,0.28571428571428575
SyncTask,0.7512240648269654,0.2,0.2,1.0,0.33333333333333337
IMissionPlan,0.7783069252967835,0.25,0.2,0.5,0.28571428571428575
IUAVProxy,0.7641678526997566,0,0,0,0
MonitoringDispatchThread,0.7682948211828867,0.2,0.16666666666666666,1.0,0.2857142857142857
IDrone,0.7908775309721628,0,0,0,0
AFEmergencyComponent,0.7747741426740374,0.30952380952380953,0.2857142857142857,0.6666666666666666,0.4
LandingStrategy,0.795480415225029,0,0,0,0
DronologyServiceRunner,0.732510473046984,0.25,0.14285714285714285,0.2,0.16666666666666666
NVECSimulator,0.771292245388031,0.5,0.2,0.5,0.28571428571428575
NvecInterpolator,0.7567001283168793,0.3333333333333333,0.125,0.3333333333333333,0.18181818181818182
JSONMissionPlanReader,0.7615757385889689,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
DronologyConstants,0.7110744814078013,0,0,0,0
CoordinatedTakeoffPattern,0.7841750532388687,0,0,0,0
EmergencyStopCommand,0.795332167829786,0,0,0,0
WriteDispatcher,0.7381551795535617,0,0,0,0
CoordinatedLandingPattern,0.7759754459063212,0,0,0,0
FlyingFieldDemoScript,0.7390182103429522,0,0,0,0
AFMapViewOperations,0.7940413440976825,0,0,0,0
VirtualDrone,0.7572006072316851,0.22619047619047616,0.2857142857142857,0.2,0.23529411764705882
AFControlsComponent,0.813142254948616,0.16666666666666666,0.125,1.0,0.2222222222222222
DroneFlightStateManager,0.7380945086479187,0,0,0,0
IMovementSimulator,0.7529079392552376,0,0,0,0
LandTask,0.7792884528636932,0,0,0,0
TakeoffTask,0.7663283433232989,0,0,0,0
MissionHandler,0.71622462783541,0.3333333333333333,0.14285714285714285,1.0,0.25
AFMainLayout,0.7707762718200684,0.30357142857142855,0.375,0.42857142857142855,0.39999999999999997
FRMetaInfo,0.7532898485660553,0,0,0,0
SyncConstants,0.7770714908838272,0,0,0,0
AssignedDrone,0.7507656931877136,0,0,0,0
RouteTask,0.7877095639705658,0,0,0,0
SimpleSimulator,0.7487836182117462,0.5,0.25,0.3333333333333333,0.28571428571428575
SetStateFrequencyCommand,0.7265979846318563,0,0,0,0
IDroneCommand,0.7346047858397166,0,0,0,0
FlightRouteplanningService,0.7332069873809814,0.5888888888888889,0.6,1.0,0.7499999999999999
NavigationBar,0.7921175807714462,0,0,0,0
RemindsConnector,0.7390453165227716,0.14285714285714285,0.09090909090909091,1.0,0.16666666666666669
Configuration,0.716965913772583,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
IMissionTask,0.7712165978219774,0,0,0,0
IPlanStatusChangeListener,0.7698919028043747,0.3333333333333333,0.125,0.3333333333333333,0.18181818181818182
DroneInitializationInfo,0.7618338929282295,0,0,0,0
DispatchQueueManager,0.7478520671526591,0,0,0,0
TakeoffAltitudeWindow,0.7634329895178477,0,0,0,0
LandCommand,0.7773368433117867,0,0,0,0
SynchronizationManager,0.7634266018867493,0,0,0,0
IDroneSetupServiceInstance,0.7719108547483172,0,0,0,0
FlightSimulator,0.7644890745480856,0.125,0.1111111111111111,0.3333333333333333,0.16666666666666666
IDroneCommandHandler,0.7587296877588544,0,0,0,0
AFFollowBar,0.7824144448552813,0.25,0.14285714285714285,1.0,0.25
IStopStrategy,0.7461315819195339,0,0,0,0
FRMapComponent,0.7658648610115051,0,0,0,0
ImageProvider,0.7766572594642639,0,0,0,0
AFMapComponent,0.7920853197574615,0.44999999999999996,0.4,0.4,0.4000000000000001
Waypoint,0.7843737751245499,0.4983164983164983,0.25,0.75,0.375
FlightInfoCreator,0.7663788284574237,0.14285714285714285,0.14285714285714285,0.25,0.18181818181818182
IFlightRouteplanningServiceInstance,0.7657543917497,0.6666666666666666,0.3333333333333333,1.0,0.5
MissionPlan,0.7585800588130951,0.16666666666666666,0.16666666666666666,0.5,0.25
DroneSetupServiceRemoteFacade,0.7613126456737518,0,0,0,0
CommandIds,0.7781459418210116,0,0,0,0
AFInfoPanel,0.7714778022332625,0.3506944444444444,0.36363636363636365,0.8,0.5000000000000001
MissionPlanningServiceInstance,0.7937445268034935,0.125,0.125,0.5,0.2
MissionPlanningServiceRemoteFacade,0.7623719473679861,0,0,0,0
FullMissionPlan,0.7927854210138321,0.125,0.125,0.3333333333333333,0.18181818181818182
MissionController,0.7773445546627045,0.29166666666666663,0.25,1.0,0.4
IFlightRoute,0.7767300208409628,0.1111111111111111,0.1111111111111111,0.5,0.1818181818181818
UAVMissionPlan,0.7981332987546921,0.125,0.125,1.0,0.2222222222222222
IFlightPattern,0.7965882942080498,1.0,0.125,0.5,0.2
DroneSetupServiceInstance,0.7756795750723945,0.5,0.1111111111111111,0.16666666666666666,0.13333333333333333
ServiceIds,0.7848032225262035,0.5,0.09090909090909091,1.0,0.16666666666666669
PhysicalDrone,0.7749730125069618,0.16666666666666666,0.125,0.09090909090909091,0.10526315789473685
StatusDispatchThread,0.7579621771971384,0,0,0,0
SoloDirector,0.769897073507309,0.3333333333333333,0.125,0.16666666666666666,0.14285714285714288
SimpleTakeoffFlightPlan,0.8194036409258842,0,0,0,0
FRDeleteRouteConfirmation,0.7437224917941623,0.5,0.1111111111111111,1.0,0.19999999999999998
IMissionPlanningServiceInstance,0.7931457310914993,0.125,0.125,0.5,0.2
FRMainLayout,0.7594122141599655,0.14285714285714285,0.125,0.16666666666666666,0.14285714285714288
FlightInfo,0.7686494390169779,0.29166666666666663,0.2222222222222222,0.6666666666666666,0.3333333333333333
FlightRoute,0.8011058509349823,0.18333333333333335,0.2,0.6666666666666666,0.30769230769230765
FRInfoPanel,0.7818319102128347,0.16666666666666666,0.16666666666666666,0.25,0.2
FREditModeController,0.734484681061336,0.5,0.14285714285714285,0.5,0.22222222222222224
DroneSetupService,0.7720947699113325,0.14285714285714285,0.09090909090909091,0.14285714285714285,0.1111111111111111
DelayTask,0.7776713073253632,0,0,0,0
FlightRouteplanningServiceRemoteFacade,0.7426143288612366,0.3333333333333333,0.25,0.5,0.3333333333333333
FlightRouteInfo,0.7831734120845795,0.125,0.125,0.5,0.2
IDroneSetupRemoteService,0.7842129468917847,0.25,0.09090909090909091,0.2,0.12500000000000003
AFDragLayout,0.7822246104478836,0.41666666666666663,0.25,0.6666666666666666,0.36363636363636365
IFlightPlan,0.828948747028004,0.3333333333333333,0.18181818181818182,0.3333333333333333,0.23529411764705885
AFMissionOperations,0.7793295468602862,0,0,0,0
FlightZoneManager2,0.8252440690994263,0.6226190476190476,0.5,0.38461538461538464,0.4347826086956522
FlightPlan,0.8152587339282036,0.41666666666666663,0.25,0.2857142857142857,0.26666666666666666
FlightMissionManager,0.7790340979894003,0,0,0,0
ManagedDrone,0.808277353644371,0.5,0.125,0.125,0.125
IFlightDirector,0.8009167909622192,0,0,0,0
IMissionPlanningRemoteService,0.7973765816007342,0,0,0,0
MissionPlanningService,0.8225242296854655,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.16666666666666666
AFInfoBox,0.7876887500286103,0.5,0.1,0.125,0.11111111111111112
IFlightManagerRemoteService,0.8314407467842102,0,0,0,0
FlightPlanInfo,0.8250059268691323,0,0,0,0
FlightManagerService,0.8146476745605469,0.375,0.18181818181818182,0.2222222222222222,0.19999999999999998
ManagedHashTableList,0.7752526998519897,0.375,0.25,0.6666666666666666,0.36363636363636365
