code,mean,map,pre,rec,f1
SimpleSimulator,0.6889501953124999,0.1111111111111111,0.1,0.3333333333333333,0.15384615384615383
IMonitoringDataHandler,0.6204380580357144,0.5,0.14285714285714285,1.0,0.25
IDrone,0.6813964843750001,0,0,0,0
DispatchQueueManager,0.69525146484375,0.3333333333333333,0.08333333333333333,0.2,0.11764705882352941
SimpleMonitor,0.64765625,0,0,0,0
Log4JLogForwarder,0.650244140625,0,0,0,0
Log4jv2RootLogger,0.61634765625,0,0,0,0
LayerDescriptor,0.6440755208333333,0,0,0,0
DronologyMonitoringManager,0.6247070312499999,0.3333333333333333,0.14285714285714285,1.0,0.25
DroneConnectorService,0.6374860491071429,0.3333333333333333,0.14285714285714285,0.5,0.22222222222222224
SendToSubscriberCallable,0.6389105902777777,0.5,0.1111111111111111,1.0,0.19999999999999998
IDroneMonitoringServiceInstance,0.6696707589285714,0.8333333333333333,0.2857142857142857,1.0,0.4444444444444445
DroneFleetManager,0.65135498046875,0.8333333333333333,0.25,0.25,0.25
DroneMonitoringServiceRemoteFacade,0.7139453125000002,0.5,0.2,1.0,0.33333333333333337
AFInfoPanel,0.7543847656250001,0.8875,0.26666666666666666,0.8,0.4
PVector,0.6375000000000001,0,0,0,0
IDroneConnectorServiceInstance,0.5567301432291667,0,0,0,0
FlightRoute,0.8250399502840909,0.7222222222222222,0.2727272727272727,1.0,0.42857142857142855
NVector,0.6602213541666667,0,0,0,0
CollisionInfo,0.6758105468750001,0.2,0.1,1.0,0.18181818181818182
FlightSimulator,0.6549153645833333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
IMovementSimulator,0.6790344238281251,0,0,0,0
DistanceChecker,0.6703667534722223,0,0,0,0
RemoteRMIRemoteObject,0.67591796875,0,0,0,0
MonitoringDispatchThread,0.6844346788194444,0.25,0.1111111111111111,1.0,0.19999999999999998
GroundstationConnector,0.6830078125,0,0,0,0
RemoteManager,0.6513392857142859,0,0,0,0
LlaCoordinate,0.6604296875,1.0,0.2,0.3333333333333333,0.25
DroneMonitoringService,0.7421142578125,1.0,1.0,1.0,1.0
IDroneSetupServiceInstance,0.6948201497395834,0,0,0,0
UAVProxy,0.7102887834821427,0,0,0,0
