code,mean,map,pre,rec,f1
DispatchQueueManager,0.6107615631818771,1.0,0.1,0.2,0.13333333333333333
NVector,0.6269563376903533,1.0,0.125,0.5,0.2
DroneMonitoringService,0.7128006219863892,1.0,1.0,1.0,1.0
IDroneMonitoringServiceInstance,0.6768914127349854,1.0,0.4,1.0,0.5714285714285715
DistanceChecker,0.5685627241929371,0,0,0,0
ReadDispatcher,0.5469795390963554,0.2,0.125,0.3333333333333333,0.18181818181818182
UAVProxy,0.6499470543861389,0,0,0,0
IRemoteManager,0.6887361526489258,0,0,0,0
CollisionInfo,0.5452392362631284,0,0,0,0
SimpleMonitor,0.5483391404151917,0,0,0,0
LlaCoordinate,0.6711953560511271,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
ILogger,0.546588588754336,1.0,0.3333333333333333,0.5,0.4
CoordinatedLandingPattern,0.6178054366792952,0.3333333333333333,0.07142857142857142,0.5,0.125
StatusDispatchThread,0.6081623586515585,0,0,0,0
RemindsConnector,0.6049986828457226,0.5,0.09090909090909091,1.0,0.16666666666666669
PVector,0.6226792786802564,1.0,0.14285714285714285,0.5,0.22222222222222224
SendToSubscriberCallable,0.6154686883091928,0.5,0.25,1.0,0.4
IDrone,0.5991731350620588,0,0,0,0
FlightSimulator,0.6103121762474377,0,0,0,0
PhysicalDrone,0.6034028981129328,0.14206349206349206,0.2,0.2727272727272727,0.23076923076923075
FlightRoute,0.7889638736844063,0.9166666666666666,0.25,1.0,0.4
RemoteManager,0.6793245315551758,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.7210258066654204,0.5,0.3333333333333333,1.0,0.5
MonitoringDispatchThread,0.5995596554544238,1.0,0.1111111111111111,1.0,0.19999999999999998
AFInfoPanel,0.6876076025622232,0.6678571428571429,0.2857142857142857,0.8,0.4210526315789473
FlightRouteInfo,0.7088629451665011,0.5909090909090909,0.18181818181818182,1.0,0.3076923076923077
IUAVProxy,0.5827523094415664,0,0,0,0
SetStateFrequencyCommand,0.491189593076706,0,0,0,0
AFMapComponent,0.6687283292412758,0.5353535353535354,0.1875,0.3,0.23076923076923075
IDroneMonitoringRemoteService,0.6273730263113975,0.5,0.25,1.0,0.4
NVECSimulator,0.664257509013017,0,0,0,0
SyncConstants,0.5770829002772058,0.1,0.07142857142857142,0.5,0.125
ImageProvider,0.588081241112489,0,0,0,0
SetGimbalRotationCommand,0.5972387686371803,0.25,0.25,0.5,0.3333333333333333
JSONMissionPlanReader,0.6413483152786891,1.0,0.16666666666666666,1.0,0.2857142857142857
DronologyServiceRunner,0.5141682386398316,0,0,0,0
WaypointTask,0.6903188904126485,0,0,0,0
MissionController,0.6473514530393811,0.5833333333333333,0.2222222222222222,1.0,0.3636363636363636
DroneSetupService,0.6467083249773298,0.2,0.07142857142857142,0.14285714285714285,0.09523809523809523
IDroneSetupServiceInstance,0.5993218208352725,0.09090909090909091,0.08333333333333333,0.25,0.125
AFInfoBox,0.6759779198964437,0.3333333333333333,0.06666666666666667,0.125,0.08695652173913045
GroundstationConnector,0.5736986380357009,1.0,0.07692307692307693,0.2,0.1111111111111111
IManagedDroneStateChangeListener,0.6005645483732224,0,0,0,0
IMovementSimulator,0.6284646933728998,0,0,0,0
DroneFleetManager,0.5141663487468447,0.7,0.2857142857142857,0.25,0.26666666666666666
FullMissionPlan,0.6666329762765341,1.0,0.21428571428571427,1.0,0.35294117647058826
SynchronizationManager,0.6648939971740429,0.25,0.07692307692307693,1.0,0.14285714285714288
WatchServiceRunner,0.5108600854873658,0,0,0,0
MissionPlan,0.6396612793207169,1.0,0.08333333333333333,0.5,0.14285714285714285
IDroneCommand,0.5688301796262915,0,0,0,0
SetMonitoringFrequencyCommand,0.5072850366433461,0,0,0,0
DroneSetupServiceRemoteFacade,0.584942196882688,0,0,0,0
GoToCommand,0.5023029709855716,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2222222222222222
DroneConnectorService,0.507390867670377,0,0,0,0
LayerDescriptor,0.49599794546763104,1.0,0.16666666666666666,1.0,0.2857142857142857
WriteDispatcher,0.5216584470868111,0,0,0,0
IDroneCommandHandler,0.5629027125239372,0,0,0,0
Log4Jv2Logger,0.47634198897414737,0,0,0,0
DroneConnectorServiceInstance,0.5235936880111695,0,0,0,0
CoordinatedTakeoffPattern,0.6530191426475843,0.3333333333333333,0.08333333333333333,0.5,0.14285714285714285
UAVMissionPlan,0.6834955811500549,0.3333333333333333,0.07142857142857142,1.0,0.13333333333333333
CommandIds,0.6661622308767758,0,0,0,0
IMissionPlan,0.6358109858300951,1.0,0.1111111111111111,0.5,0.1818181818181818
