code,mean,map,pre,rec,f1
RemoteRMIRemoteObject,0.59271484375,0,0,0,0
SendToSubscriberCallable,0.661865234375,0.2,0.16666666666666666,1.0,0.2857142857142857
LayerDescriptor,0.6123616536458333,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.677529296875,0.25,0.2,1.0,0.33333333333333337
DronologyServiceRunner,0.613677978515625,0.125,0.125,0.2,0.15384615384615385
MissionPlanningServiceRemoteFacade,0.7021679687500001,0.3333333333333333,0.2,0.5,0.28571428571428575
IDroneMonitoringServiceInstance,0.6484863281250001,0.26666666666666666,0.3333333333333333,1.0,0.5
VaadinUIMapConstants,0.6092447916666666,0,0,0,0
ILogger,0.617626953125,0.2,0.2,0.5,0.28571428571428575
SimpleMonitor,0.6208565848214286,0,0,0,0
WaypointTask,0.8081217447916668,0,0,0,0
DroneFleetManager,0.661669921875,0.5,0.5,0.125,0.2
MissionHandler,0.70322265625,0.2,0.2,1.0,0.33333333333333337
IManagedDroneStateChangeListener,0.68552734375,0,0,0,0
MissionController,0.6684244791666666,0.5833333333333333,0.6666666666666666,1.0,0.8
PVector,0.6245524088541667,0,0,0,0
IMissionPlanningRemoteService,0.7353434244791667,0.7,0.3333333333333333,1.0,0.5
CollisionInfo,0.6516927083333334,0,0,0,0
PatternTask,0.680693359375,0.325,0.4,1.0,0.5714285714285715
ReadDispatcher,0.61748046875,0,0,0,0
TakeoffCommand,0.6584635416666667,0,0,0,0
IDroneCommand,0.639990234375,0,0,0,0
FRTableDisplay,0.6173437500000001,0,0,0,0
IMovementSimulator,0.6470784505208332,0,0,0,0
GroundstationConnector,0.6769287109375001,1.0,0.25,0.2,0.22222222222222224
RuntimeDroneTypes,0.6234049479166667,0,0,0,0
DistanceChecker,0.63544921875,0,0,0,0
SimpleSimulator,0.6082194010416667,0.22619047619047616,0.2222222222222222,0.6666666666666666,0.3333333333333333
FlyingFieldDemoScript,0.622900390625,0,0,0,0
AFMissionOperations,0.7092968749999999,0.25,0.2,1.0,0.33333333333333337
IDroneMonitoringRemoteService,0.6998372395833333,0.3333333333333333,0.3333333333333333,1.0,0.5
PhysicalDrone,0.641455078125,0,0,0,0
DroneConnectorService,0.6413411458333332,0.5,0.3333333333333333,0.5,0.4
CoordinatedLandingPattern,0.675146484375,0.5,0.4,1.0,0.5714285714285715
MissionPlan,0.6609130859375,0.14285714285714285,0.125,0.5,0.2
TaskList,0.704599609375,0.41666666666666663,0.4,1.0,0.5714285714285715
WorkspaceInitializer,0.6327473958333333,0,0,0,0
IMissionPlan,0.6810253906250001,0.25,0.2,0.5,0.28571428571428575
FRMetaInfo,0.6900065104166666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
SetMonitoringFrequencyCommand,0.62943359375,0,0,0,0
IUAVProxy,0.66625,0,0,0,0
NvecInterpolator,0.6311279296875,0.5,0.16666666666666666,0.3333333333333333,0.2222222222222222
DronologyConstants,0.6498046875,0,0,0,0
FRInfoBox,0.6721777343750002,0.2,0.2,0.3333333333333333,0.25
RemindsConnector,0.65057373046875,0.25,0.25,1.0,0.4
FlightSimulator,0.6336495535714286,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.2
JSONMissionPlanReader,0.6883626302083332,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
NVECSimulator,0.6919108072916665,0,0,0,0
MonitoringDispatchThread,0.682119140625,0.25,0.2,1.0,0.33333333333333337
MyUI,0.67041015625,1.0,0.25,0.14285714285714285,0.18181818181818182
IDroneSetupServiceInstance,0.680859375,0,0,0,0
FREditModeController,0.66043701171875,1.0,0.25,0.5,0.3333333333333333
IDrone,0.649267578125,0,0,0,0
IFlightPattern,0.6925944010416667,0.2,0.16666666666666666,0.5,0.25
SetStateFrequencyCommand,0.6189697265625,0,0,0,0
UAVProxy,0.6676367187500001,0,0,0,0
DispatchQueueManager,0.6594726562500001,0,0,0,0
SetGroundSpeedCommand,0.6666015625,0,0,0,0
AssignedDrone,0.6513671875,0,0,0,0
DelayTask,0.7021875000000002,0.25,0.2,1.0,0.33333333333333337
IPlanStatusChangeListener,0.6972005208333333,0.26666666666666666,0.2222222222222222,0.6666666666666666,0.3333333333333333
WriteDispatcher,0.6487513950892857,0,0,0,0
SetVelocityCommand,0.6524623325892858,0,0,0,0
FRControlsComponent,0.70810546875,0.3333333333333333,0.2,0.3333333333333333,0.25
FRMapComponent,0.68404296875,0,0,0,0
VirtualDrone,0.702763671875,0.8041666666666667,0.8,0.4,0.5333333333333333
LandTask,0.6698608398437501,0.25,0.125,1.0,0.2222222222222222
DroneSetupServiceInstance,0.6812779017857142,0,0,0,0
UAVMissionPlan,0.70694580078125,0.125,0.125,1.0,0.2222222222222222
IStopStrategy,0.678143310546875,0,0,0,0
SyncTask,0.6910784040178571,0.14285714285714285,0.14285714285714285,1.0,0.25
FlightRouteplanningServiceRemoteFacade,0.6770159040178572,0.6428571428571428,0.2857142857142857,1.0,0.4444444444444445
AFInfoPanel,0.7058539496527777,0.37797619047619047,0.4444444444444444,0.8,0.5714285714285714
StatusDispatchThread,0.6625915527343751,0,0,0,0
IMissionTask,0.6748453776041666,0.2,0.16666666666666666,0.5,0.25
IStartstrategy,0.669964599609375,0,0,0,0
AFMapViewOperations,0.712939453125,0,0,0,0
FlightRouteplanningService,0.6890234375000001,0.7,0.4,0.6666666666666666,0.5
IMissionPlanningServiceInstance,0.7464306640625,0.1,0.1,0.5,0.16666666666666669
DroneFlightStateManager,0.652099609375,0,0,0,0
SyncConstants,0.6758300781250001,0,0,0,0
AFFollowBar,0.7455674913194446,0.14285714285714285,0.1111111111111111,1.0,0.19999999999999998
ImageProvider,0.7064860026041666,0,0,0,0
SynchronizationManager,0.6891031901041668,0.3333333333333333,0.16666666666666666,1.0,0.2857142857142857
FRDeleteRouteConfirmation,0.6992858886718749,0.125,0.125,1.0,0.2222222222222222
FullMissionPlan,0.7147135416666667,0.125,0.1111111111111111,0.3333333333333333,0.16666666666666666
IDroneSetupRemoteService,0.6779017857142857,0,0,0,0
TakeoffAltitudeWindow,0.73681640625,0,0,0,0
CoordinatedTakeoffPattern,0.6986886160714286,0.25,0.14285714285714285,0.5,0.22222222222222224
