code,mean,map,pre,rec,f1
CollisionInfo,0.49791221916675565,0,0,0,0
IDroneMonitoringServiceInstance,0.5909780997037888,0.325,0.4,1.0,0.5714285714285715
DistanceChecker,0.5018971155087154,0,0,0,0
ReadDispatcher,0.5450812712311744,1.0,0.16666666666666666,0.3333333333333333,0.2222222222222222
IManagedDroneStateChangeListener,0.600181533396244,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.6158095846573511,0.2,0.16666666666666666,1.0,0.2857142857142857
MonitoringDispatchThread,0.5737531352043153,0.1,0.1,1.0,0.18181818181818182
WaypointTask,0.7160893106460572,0,0,0,0
SimpleMonitor,0.5620025658607484,0,0,0,0
IDroneMonitoringRemoteService,0.5863406318426132,0.25,0.2,1.0,0.33333333333333337
SynchronizationPoint,0.5171483095203129,0.16666666666666666,0.14285714285714285,1.0,0.25
LandTask,0.5791763673226039,0.5,0.16666666666666666,1.0,0.2857142857142857
DispatchQueueManager,0.5441049908598264,0.2,0.16666666666666666,0.2,0.1818181818181818
SyncTask,0.5759984582662582,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
Waypoint,0.6071437599984082,0.14090909090909093,0.18181818181818182,0.5,0.26666666666666666
IUAVProxy,0.5283330175611708,0,0,0,0
WatchServiceRunner,0.5278754638774055,0,0,0,0
IMissionTask,0.5657954674959182,0.1111111111111111,0.1,0.5,0.16666666666666669
LlaCoordinate,0.5506076390544573,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.4444444444444444
RemindsConnector,0.5768134975433349,0.25,0.2,1.0,0.33333333333333337
DelayTask,0.6286036789417268,0.2,0.16666666666666666,1.0,0.2857142857142857
NVector,0.5478305891156197,0.2,0.125,0.5,0.2
SetVelocityCommand,0.4965478450059891,0,0,0,0
JSONMissionPlanReader,0.6018505930900573,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998
DroneConnectorService,0.5191498522957166,0,0,0,0
SetGroundSpeedCommand,0.5183555442094803,0,0,0,0
IDroneCommandHandler,0.5542989561955135,0,0,0,0
GroundstationConnector,0.5070226892828941,0.325,0.3333333333333333,0.4,0.3636363636363636
SetGimbalTargetCommand,0.5580645576119423,0.25,0.25,0.5,0.3333333333333333
AFEmergencyComponent,0.6034352105110884,0.29166666666666663,0.25,0.6666666666666666,0.36363636363636365
IMovementSimulator,0.5320684283971787,0,0,0,0
NvecInterpolator,0.5746058036883671,0,0,0,0
TaskList,0.6189078581333161,0.75,0.4,1.0,0.5714285714285715
StatusDispatchThread,0.5643151524392042,0,0,0,0
VaadinUIMapConstants,0.5356781105200449,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
TakeoffCommand,0.5735357269644736,0,0,0,0
UAVProxy,0.5192146641867501,0,0,0,0
EmergencyStopCommand,0.5869222019399916,0,0,0,0
WriteDispatcher,0.5100109474225478,0,0,0,0
SimpleSimulator,0.5542480438947678,0,0,0,0
CoordinatedLandingPattern,0.5809329893440008,0.325,0.25,1.0,0.4
PatternTask,0.6380137705802917,0.325,0.4,1.0,0.5714285714285715
SyncConstants,0.5660584330558777,0,0,0,0
DroneFleetManager,0.48216796740889545,0.29166666666666663,0.25,0.25,0.25
RuntimeDroneTypes,0.4871804583072663,0,0,0,0
