code,mean,map,pre,rec,f1
SetGimbalTargetCommand,0.7559021333853404,0.3333333333333333,0.16666666666666666,0.5,0.25
WaypointTask,0.8307319223880767,0,0,0,0
GoToCommand,0.752965584397316,0,0,0,0
TakeoffCommand,0.7635928881168365,0,0,0,0
DroneMonitoringServiceRemoteFacade,0.7213299691677094,0.16666666666666666,0.14285714285714285,1.0,0.25
SendToSubscriberCallable,0.7545764565467835,0.3333333333333333,0.25,1.0,0.4
CollisionInfo,0.7500163361430168,0,0,0,0
IDroneMonitoringServiceInstance,0.7472571164369584,0.8333333333333333,0.5,1.0,0.6666666666666666
PVector,0.7548808773358662,0,0,0,0
VaadinUIMapConstants,0.7561201691627502,0,0,0,0
SimpleMonitor,0.7527060821652413,0,0,0,0
SetGroundSpeedCommand,0.7591150383154551,0,0,0,0
DroneConnectorService,0.7153279408812523,0,0,0,0
DistanceChecker,0.7217610885699589,0,0,0,0
ReadDispatcher,0.7473801875114441,0,0,0,0
IDroneMonitoringRemoteService,0.7319709113665989,0.16666666666666666,0.14285714285714285,1.0,0.25
NVector,0.7408033668994902,0,0,0,0
MonitoringDispatchThread,0.7751968999703726,0.2,0.16666666666666666,1.0,0.2857142857142857
LlaCoordinate,0.7532183309396108,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.16666666666666666
PatternTask,0.7387151837348939,0.8333333333333333,0.6666666666666666,1.0,0.8
IUAVProxy,0.7557372771203518,0,0,0,0
DroneFleetManager,0.7300581589341163,0.25,0.25,0.125,0.16666666666666666
FRControlsComponent,0.7529701206419204,0.2,0.1111111111111111,0.3333333333333333,0.16666666666666666
UAVProxy,0.7598676187651497,0,0,0,0
RemoteManager,0.7210613638162613,0,0,0,0
SynchronizationPoint,0.7402443197038439,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
GroundstationConnector,0.7397608598073324,0,0,0,0
SyncTask,0.7523655104637147,0.2,0.2,1.0,0.33333333333333337
MyUI,0.7477169203758239,0.2,0.2,0.14285714285714285,0.16666666666666666
EmergencyStopCommand,0.7871034034660883,0,0,0,0
SyncConstants,0.7614793241024017,0,0,0,0
DronologyServiceRunner,0.729651289326804,0,0,0,0
NvecInterpolator,0.7606787458062172,0.2,0.125,0.3333333333333333,0.18181818181818182
FRTableDisplay,0.7716373935341835,1.0,0.25,0.3333333333333333,0.28571428571428575
AFEmergencyComponent,0.7756091466971806,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.2
IMissionPlan,0.7730255424976348,0.25,0.2,0.5,0.28571428571428575
MissionHandler,0.7315302533762795,0.16666666666666666,0.14285714285714285,1.0,0.25
IStartstrategy,0.7495636910200119,0,0,0,0
FRMetaInfo,0.7437547653913499,0,0,0,0
AFControlsComponent,0.8168277256190777,0.16666666666666666,0.125,1.0,0.2222222222222222
WriteDispatcher,0.7357247749964395,0,0,0,0
SetStateFrequencyCommand,0.7272129085328843,0,0,0,0
RouteTask,0.7865802848339081,0,0,0,0
NVECSimulator,0.7762791299819946,0.5,0.2,0.5,0.28571428571428575
IDrone,0.786008041103681,0,0,0,0
NavigationBar,0.7853024989366532,0,0,0,0
Configuration,0.7230887075265248,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
LandingStrategy,0.7829392082989215,0.25,0.125,0.3333333333333333,0.18181818181818182
RemindsConnector,0.7330168491060083,0.16666666666666666,0.09090909090909091,1.0,0.16666666666666669
IPlanStatusChangeListener,0.7719815276563168,0.3333333333333333,0.125,0.3333333333333333,0.18181818181818182
JSONMissionPlanReader,0.7664932717879614,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857
IMovementSimulator,0.7598079986870289,0,0,0,0
DronologyConstants,0.7267997433741887,0,0,0,0
SimpleSimulator,0.7442139163613319,0.5,0.25,0.3333333333333333,0.28571428571428575
CoordinatedLandingPattern,0.788494794567426,0,0,0,0
DispatchQueueManager,0.7440736358364424,0,0,0,0
DroneFlightStateManager,0.7304622203111648,0,0,0,0
LandTask,0.7907826167345047,0,0,0,0
FlyingFieldDemoScript,0.7503581183297293,0,0,0,0
CoordinatedTakeoffPattern,0.7896026127040386,0,0,0,0
TakeoffAltitudeWindow,0.763412312666575,0,0,0,0
MissionPlanningServiceRemoteFacade,0.7611851225296656,0,0,0,0
AFMapViewOperations,0.7851566433906555,0,0,0,0
IDroneCommand,0.7352640946706138,0,0,0,0
VirtualDrone,0.75823506798063,0.22619047619047616,0.2857142857142857,0.2,0.23529411764705882
TakeoffTask,0.772278495345797,0,0,0,0
