link/art,10%,20%,30%,40%,50%,60%,70%,80%,90%
10%,0.3288,0.3395,0.3495,0.3694,0.3735,0.3744,0.3248,0.3471,0.2406
20%,0.3298,0.3478,0.3586,0.3728,0.3702,0.3721,0.3263,0.3462,0.2559
30%,0.3434,0.3621,0.3617,0.3768,0.368,0.3698,0.3183,0.3356,0.266
40%,0.3539,0.3696,0.3667,0.3845,0.371,0.369,0.3254,0.3289,0.2543
50%,0.3678,0.3766,0.3659,0.39,0.3838,0.3661,0.3183,0.3084,0.2798
60%,0.3806,0.3829,0.3796,0.4081,0.3616,0.3638,0.311,0.3168,0.2458
70%,0.3929,0.3828,0.3862,0.3919,0.3605,0.3473,0.2923,0.3326,0.2634
80%,0.3903,0.3929,0.3963,0.3839,0.3482,0.3515,0.2941,0.3439,0.2377
90%,0.3824,0.3597,0.3558,0.3746,0.3348,0.3273,0.2913,0.3293,0.1745
