approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.9455),(0.3482|1.0000),0.6550,0.3557,0.4463,0.3959
all_code_uc_chains_bge,15%,(1.0000|0.9455),(0.3482|1.0000),0.6662,0.4004,0.4125,0.4064
all_code_uc_chains_bge,10%,(1.0000|0.9455),(0.3482|1.0000),0.6777,0.4121,0.3100,0.3538
all_code_uc_chains_miniLM,20%,(1.0000|0.9273),(0.3304|0.9744),0.5016,0.2264,0.4642,0.3044
all_code_uc_chains_miniLM,15%,(1.0000|0.9273),(0.3304|0.9744),0.5114,0.2574,0.4321,0.3226
all_code_uc_chains_miniLM,10%,(1.0000|0.9273),(0.3304|0.9744),0.5175,0.2826,0.3416,0.3093
all_code_uc_chains_simcse,20%,(1.0000|0.9636),(0.3451|1.0000),0.5821,0.2917,0.4916,0.3662
all_code_uc_chains_simcse,15%,(1.0000|0.9636),(0.3451|1.0000),0.6035,0.3301,0.4357,0.3757
all_code_uc_chains_simcse,10%,(1.0000|0.9636),(0.3451|1.0000),0.6196,0.3723,0.3465,0.3589
weighted_code_uc_chains_bge,20%,(1.0000|0.9455),(0.3482|1.0000),0.6456,0.3612,0.4645,0.4064
weighted_code_uc_chains_bge,15%,(1.0000|0.9455),(0.3482|1.0000),0.6746,0.3836,0.3905,0.3870
weighted_code_uc_chains_bge,10%,(1.0000|0.9455),(0.3482|1.0000),0.6911,0.4313,0.3154,0.3644
weighted_code_uc_chains_miniLM,20%,(1.0000|0.9273),(0.3304|0.9744),0.5425,0.2412,0.5024,0.3260
weighted_code_uc_chains_miniLM,15%,(1.0000|0.9273),(0.3304|0.9744),0.5628,0.2749,0.4526,0.3421
weighted_code_uc_chains_miniLM,10%,(1.0000|0.9273),(0.3304|0.9744),0.5795,0.3120,0.3872,0.3456
weighted_code_uc_chains_simcse,20%,(1.0000|0.9636),(0.3451|1.0000),0.5812,0.2937,0.4798,0.3644
weighted_code_uc_chains_simcse,15%,(1.0000|0.9636),(0.3451|1.0000),0.6000,0.3408,0.4465,0.3865
weighted_code_uc_chains_simcse,10%,(1.0000|0.9636),(0.3451|1.0000),0.6213,0.3794,0.3387,0.3579
