code,mean,map,pre,rec,f1
Richiesta,nan,0,0,0,0
ServletModificaImpiegato,0.85205078125,0,0,0,0
DbRichiesta,nan,0,0,0,0
ServletMostraAccessoA,nan,0,0,0,0
CittadinoManager,0.8628743489583334,0.9266666666666665,0.8333333333333334,0.20833333333333334,0.33333333333333337
ServletEliminaCittadino,0.90283203125,1.0,1.0,0.5,0.6666666666666666
Cittadino,0.85966796875,0.95,0.8,0.16666666666666666,0.27586206896551724
CIManager,0.85595703125,1.0,1.0,0.045454545454545456,0.08695652173913045
ServletCaricaPratica,0.85009765625,0,0,0,0
CartaIdentita,0.85009765625,1.0,1.0,0.09090909090909091,0.16666666666666669
ServletModificaAccesso,0.856201171875,1.0,0.5,0.25,0.3333333333333333
ServletModificaCittadino,0.8701171875,1.0,0.6666666666666666,0.2857142857142857,0.4
Accesso,nan,0,0,0,0
ServletRegistraCittadino,0.8843994140625,0,0,0,0
Richiesta,nan,0,0,0,0
ServletModificaImpiegato,0.85205078125,0,0,0,0
DbRichiesta,nan,0,0,0,0
ServletMostraAccessoA,nan,0,0,0,0
CittadinoManager,0.8628743489583334,0.9266666666666665,0.8333333333333334,0.20833333333333334,0.33333333333333337
ServletEliminaCittadino,0.90283203125,1.0,1.0,0.5,0.6666666666666666
Cittadino,0.85966796875,0.95,0.8,0.16666666666666666,0.27586206896551724
CIManager,0.85595703125,1.0,1.0,0.045454545454545456,0.08695652173913045
ServletCaricaPratica,0.85009765625,0,0,0,0
CartaIdentita,0.85009765625,1.0,1.0,0.09090909090909091,0.16666666666666669
ServletModificaAccesso,0.856201171875,1.0,0.5,0.25,0.3333333333333333
ServletModificaCittadino,0.8701171875,1.0,0.6666666666666666,0.2857142857142857,0.4
Accesso,nan,0,0,0,0
ServletRegistraCittadino,0.8843994140625,0,0,0,0
Richiesta,nan,0,0,0,0
ServletModificaImpiegato,0.85205078125,0,0,0,0
DbRichiesta,nan,0,0,0,0
ServletMostraAccessoA,nan,0,0,0,0
CittadinoManager,0.8628743489583334,0.9266666666666665,0.8333333333333334,0.20833333333333334,0.33333333333333337
ServletEliminaCittadino,0.90283203125,1.0,1.0,0.5,0.6666666666666666
Cittadino,0.85966796875,0.95,0.8,0.16666666666666666,0.27586206896551724
CIManager,0.85595703125,1.0,1.0,0.045454545454545456,0.08695652173913045
ServletCaricaPratica,0.85009765625,0,0,0,0
CartaIdentita,0.85009765625,1.0,1.0,0.09090909090909091,0.16666666666666669
ServletModificaAccesso,0.856201171875,1.0,0.5,0.25,0.3333333333333333
ServletModificaCittadino,0.8701171875,1.0,0.6666666666666666,0.2857142857142857,0.4
Accesso,nan,0,0,0,0
ServletRegistraCittadino,0.8843994140625,0,0,0,0
