code,mean,map,pre,rec,f1
ServletCreaPdfCambioAbitazione,0.7821679687499999,1.0,0.1,0.3333333333333333,0.15384615384615383
CittadinoManager,0.823255037006579,0.8316085429721795,0.5789473684210527,0.4583333333333333,0.5116279069767442
ServletRicercaCittadino,0.7953913762019231,0.28733766233766234,0.3076923076923077,0.5,0.380952380952381
Cittadino,0.8019555664062501,0.7417600373482727,0.55,0.4583333333333333,0.5
NucleoFamiliare,0.76451171875,0.3333333333333333,0.2,0.06666666666666667,0.1
ServletEliminaCittadino,0.8076998197115385,1.0,0.07692307692307693,0.5,0.13333333333333336
Richiesta,0.8058061079545454,0.2858646616541353,0.22727272727272727,0.38461538461538464,0.2857142857142857
NucleoFamiliareManager,0.7420491536458332,0.5666666666666667,0.6666666666666666,0.26666666666666666,0.3809523809523809
ServletModificaCittadino,0.8132714843750002,0.6438095238095238,0.3333333333333333,0.7142857142857143,0.4545454545454545
ServletModificaResidenza,0.7831119791666666,0.3214285714285714,0.13333333333333333,0.6666666666666666,0.2222222222222222
ControllerFiles,0.7314208984375,1.0,1.0,0.3333333333333333,0.5
ServletCreaPdfCittadino,0.7937825520833334,1.0,0.3333333333333333,0.75,0.46153846153846156
ServletInserisciCittadino,0.7877263849431819,0.8333333333333333,0.18181818181818182,1.0,0.3076923076923077
ServletRicercaPratica,0.777547940340909,0.7071428571428571,0.36363636363636365,0.5714285714285714,0.4444444444444444
ServletLogout,0.8257421875000001,1.0,0.6,0.75,0.6666666666666665
DbNucleoFamiliare,0.7627336774553573,0.72,0.35714285714285715,0.3333333333333333,0.3448275862068965
ServletRegistraCittadino,0.8262451171874999,0,0,0,0
ServletRecuperoPassword,0.7967990451388889,0.5873015873015873,0.3333333333333333,0.6,0.42857142857142855
CartaIdentita,0.8047884114583334,0.9566666666666667,0.6666666666666666,0.45454545454545453,0.5405405405405405
DbCambioResidenza,0.7946533203125,0.5,0.08333333333333333,0.3333333333333333,0.13333333333333333
DbCartaIdentita,0.8135141225961539,0.9121503496503497,0.7692307692307693,0.45454545454545453,0.5714285714285714
ServletStatoDiFamiglia,0.76732177734375,0.625,0.25,0.25,0.25
DbImpiegato,0.8056989397321427,0.8303571428571428,0.5714285714285714,0.4444444444444444,0.5
CIManager,0.8232805524553571,0.8296342546342548,0.7857142857142857,0.5,0.6111111111111112
ServletRisposta,0.8061185396634615,0.6950757575757576,0.3076923076923077,0.4444444444444444,0.3636363636363637
DbComune,0.7363444010416668,0,0,0,0
DbCittadino,0.8014340049342106,0.7722913306736837,0.7894736842105263,0.625,0.6976744186046512
DbRichiesta,0.81083984375,0.4913690476190476,0.18181818181818182,0.3076923076923077,0.2285714285714286
ServletModificaImpiegato,0.8231305803571428,1.0,0.14285714285714285,0.6666666666666666,0.23529411764705882
ServletRicercaImpiegato,0.757940673828125,0.41666666666666663,0.25,0.4,0.3076923076923077
ServletAnnulla,0.736962890625,1.0,0.6666666666666666,0.05263157894736842,0.09756097560975609
ServletVisualizzaPratiche,0.78267822265625,0.26785714285714285,0.25,0.25,0.25
ImpiegatoManager,0.824609375,0.6041666666666666,0.4,0.4444444444444444,0.4210526315789474
ServletCaricaPratica,0.7868977864583333,0,0,0,0
AccessManager,0.7846907552083332,0.6608706108706107,0.6,0.47368421052631576,0.5294117647058824
ServletInserisciImpiegato,0.7833496093750001,1.0,0.2,1.0,0.33333333333333337
Amministratore,0.8672037760416668,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
DbAccesso,0.7925924862132352,0.843506802487895,0.8235294117647058,0.6363636363636364,0.717948717948718
ServletInserisciAmministratore,0.7758091517857143,0.5,0.14285714285714285,1.0,0.25
ServletEliminaAmministratore,0.784967041015625,0.2,0.125,1.0,0.2222222222222222
AdminManager,0.818853759765625,0.65,0.5,0.3076923076923077,0.380952380952381
ServletMostraAccessoA,0.7858012952302631,0.0804093567251462,0.10526315789473684,0.6666666666666666,0.18181818181818182
Accesso,0.8004791259765625,0.8489213564213562,0.625,0.43478260869565216,0.5128205128205128
ServletEliminaImpiegato,0.7873806423611112,1.0,0.1111111111111111,0.5,0.1818181818181818
ServletModificaAccesso,0.8174265008223683,0.7666666666666666,0.15789473684210525,0.75,0.2608695652173913
Impiegato,0.7777425130208333,0.7708333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333
DbAmministratore,0.7881184895833334,0.8041666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666
ServletRicercaAmministratore,0.788427734375,0,0,0,0
ServletMostraAccesso,0.7410422585227273,0.75,0.18181818181818182,0.4,0.25000000000000006
ServletCreaPdfCambioAbitazione,0.7945731026785713,1.0,0.14285714285714285,0.3333333333333333,0.2
CittadinoManager,0.8350130208333334,0.8316085429721795,0.7333333333333333,0.4583333333333333,0.5641025641025641
