code,mean,map,pre,rec,f1
ServletCreaPdfCittadino,0.6645077214999633,0.7555555555555555,0.13636363636363635,0.75,0.23076923076923075
DbCambioResidenza,0.6724577112631365,0.058823529411764705,0.045454545454545456,0.3333333333333333,0.08
ServletRicercaPratica,0.6764823687076568,0.7041666666666666,0.26666666666666666,0.5714285714285714,0.36363636363636365
Richiesta,0.7763324626114058,0.28619528619528617,0.13043478260869565,0.23076923076923078,0.16666666666666669
CartaIdentita,0.6719106657938524,0.7831777597402597,0.36363636363636365,0.36363636363636365,0.36363636363636365
CittadinoManager,0.7709766192869707,0.654637281910009,0.5,0.4583333333333333,0.4782608695652174
ServletCreaPdfCambioAbitazione,0.692546859383583,1.0,0.045454545454545456,0.3333333333333333,0.08
NucleoFamiliare,0.6076105766436632,0.28596638655462187,0.29411764705882354,0.3333333333333333,0.3125
DbComune,0.63233978483412,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111
ServletRegistraCittadino,0.7440961315518335,0,0,0,0
ServletRicercaCittadino,0.6956292558800089,0.22726190476190475,0.22727272727272727,0.625,0.3333333333333333
CIManager,0.7226057866345282,0.7285244360902254,0.34782608695652173,0.36363636363636365,0.3555555555555555
ServletRisposta,0.7207924444567073,0.675595238095238,0.18181818181818182,0.4444444444444444,0.2580645161290322
ServletModificaCittadino,0.7358793172240258,0.7666666666666666,0.15,0.42857142857142855,0.2222222222222222
DbCartaIdentita,0.6700902010713305,0.7488677988677989,0.47619047619047616,0.45454545454545453,0.46511627906976744
DbNucleoFamiliare,0.6368638261159261,0.5081941867656153,0.4666666666666667,0.4666666666666667,0.4666666666666667
DbRichiesta,0.7767197476780935,0.2244047619047619,0.13043478260869565,0.23076923076923078,0.16666666666666669
ServletStatoDiFamiglia,0.6484171324968337,0.6,0.1,0.25,0.14285714285714288
ServletVisualizzaPratiche,0.6504854172468185,0.41666666666666663,0.2222222222222222,0.25,0.23529411764705882
DbCittadino,0.7407241647658139,0.8160714285714286,0.5217391304347826,0.5,0.5106382978723404
ServletModificaResidenza,0.6809153207323769,0.1625,0.09090909090909091,0.6666666666666666,0.16
ServletInserisciCittadino,0.6989059045201255,0.5833333333333333,0.09523809523809523,1.0,0.17391304347826084
ControllerFiles,0.5693082198500634,0.0625,0.05555555555555555,0.16666666666666666,0.08333333333333333
Cittadino,0.7507484671862228,0.5414089994972348,0.34782608695652173,0.3333333333333333,0.3404255319148936
