code,mean,map,pre,rec,f1
Richiesta,0.8665700535882604,0.25357142857142856,0.2727272727272727,0.46153846153846156,0.3428571428571428
DbCartaIdentita,0.8406825542449953,0.8262362637362637,0.5714285714285714,0.36363636363636365,0.4444444444444444
ServletRicercaCittadino,0.8463192142938313,0.5075757575757576,0.21052631578947367,0.5,0.2962962962962963
DbComune,0.758334144949913,0.6111111111111112,0.2,0.2222222222222222,0.2105263157894737
CittadinoManager,0.869294866323471,0.7844102792632204,0.55,0.4583333333333333,0.5
ServletInserisciCittadino,0.8326924771070481,0.3269230769230769,0.1,1.0,0.18181818181818182
ServletCreaPdfCambioAbitazione,0.8340182806316175,0.3333333333333333,0.05263157894736842,0.3333333333333333,0.09090909090909091
ServletEliminaCittadino,0.8552795084317525,0.6,0.13333333333333333,1.0,0.23529411764705882
Cittadino,0.8494217060861134,0.6963858509911142,0.5238095238095238,0.4583333333333333,0.4888888888888889
DbRichiesta,0.8687095496965492,0.5170843776106934,0.34782608695652173,0.6153846153846154,0.4444444444444444
DbNucleoFamiliare,0.8134997617114673,0.6357142857142857,0.5454545454545454,0.4,0.4615384615384615
NucleoFamiliareManager,0.7925207860767841,0.5449999999999999,0.625,0.3333333333333333,0.43478260869565216
DbCittadino,0.8390932343222878,0.812330856674748,0.5909090909090909,0.5416666666666666,0.5652173913043478
DbCambioResidenza,0.8315072549713983,0.1,0.05555555555555555,0.3333333333333333,0.09523809523809525
CartaIdentita,0.8403295338153839,0.8960844710844711,0.6470588235294118,0.5,0.5641025641025642
CIManager,0.8751999745243474,0.7152243589743589,0.42105263157894735,0.36363636363636365,0.3902439024390244
ServletRisposta,0.8604103562235832,0.8055555555555555,0.15,0.3333333333333333,0.20689655172413793
ServletStatoDiFamiglia,0.8090834796428682,0.5,0.08333333333333333,0.125,0.1
ServletModificaImpiegato,0.8809121685368676,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.23529411764705882
ServletRegistraCittadino,0.844550911376351,0,0,0,0
ServletCreaPdfCittadino,0.8179428561528524,0.8666666666666667,0.2,0.75,0.31578947368421056
ServletLogout,0.8595184233453539,1.0,0.3333333333333333,0.75,0.46153846153846156
ControllerFiles,0.8116213962435722,0.30952380952380953,0.125,0.3333333333333333,0.18181818181818182
NucleoFamiliare,0.7883385632719312,0.6220238095238095,0.5714285714285714,0.26666666666666666,0.36363636363636365
ServletRicercaPratica,0.8511880702832165,1.0,0.058823529411764705,0.14285714285714285,0.08333333333333333
