code,mean,map,pre,rec,f1
DbNucleoFamiliare,0.7400024414062499,1.0,0.75,0.2,0.31578947368421056
ServletCreaPdfCittadino,0.79796142578125,0.41666666666666663,0.5,0.5,0.5
ServletCreaPdfCambioAbitazione,0.7870117187499999,0.2,0.2,0.3333333333333333,0.25
ServletStatoDiFamiglia,0.779150390625,0.16666666666666666,0.16666666666666666,0.125,0.14285714285714288
ServletModificaResidenza,0.769549560546875,0.14285714285714285,0.125,0.3333333333333333,0.18181818181818182
ServletInserisciCittadino,0.7865234375,0.14285714285714285,0.14285714285714285,0.5,0.22222222222222224
ServletLogout,0.7610080295138889,0.25,0.3333333333333333,0.75,0.46153846153846156
DbCambioResidenza,0.79503173828125,0.14285714285714285,0.125,0.3333333333333333,0.18181818181818182
ServletRisposta,0.7859793526785716,0.22619047619047616,0.2857142857142857,0.2222222222222222,0.25
ServletEliminaCittadino,0.8024359809027779,0.1111111111111111,0.1111111111111111,0.5,0.1818181818181818
ServletModificaCittadino,0.7958642578124999,0.3619047619047619,0.3,0.42857142857142855,0.3529411764705882
Cittadino,0.78271484375,0.7707656926406927,0.6666666666666666,0.3333333333333333,0.4444444444444444
ServletRicercaCittadino,0.7767089843750001,0.39285714285714285,0.2857142857142857,0.25,0.26666666666666666
DbCartaIdentita,0.8141113281250001,1.0,1.0,0.4090909090909091,0.5806451612903226
ServletRicercaPratica,0.7692173549107143,0.8303571428571428,0.5714285714285714,0.5714285714285714,0.5714285714285714
DbCittadino,0.787138671875,0.9765432098765433,0.9,0.375,0.5294117647058825
ServletVisualizzaPratiche,0.7927164713541667,0.3333333333333333,0.16666666666666666,0.125,0.14285714285714288
CIManager,0.814923095703125,0.8736394557823128,0.875,0.3181818181818182,0.4666666666666667
CartaIdentita,0.8039225260416667,0.9067956349206348,0.8888888888888888,0.36363636363636365,0.5161290322580644
Richiesta,0.801410271139706,0.4927503052503053,0.35294117647058826,0.46153846153846156,0.4000000000000001
DbRichiesta,0.78004150390625,0.321031746031746,0.3125,0.38461538461538464,0.3448275862068966
ServletRecuperoPassword,0.79835205078125,0.41666666666666663,0.5,0.4,0.4444444444444445
ServletCaricaPratica,0.7956054687500002,0,0,0,0
CittadinoManager,0.8047688802083331,0.9924242424242423,0.9166666666666666,0.4583333333333333,0.611111111111111
ImpiegatoManager,0.8143261718750001,0.6388888888888888,0.6,0.3333333333333333,0.42857142857142855
ServletRegistraCittadino,0.8145453559027778,0,0,0,0
DbImpiegato,0.766259765625,0.95,0.8,0.4444444444444444,0.5714285714285714
ServletRicercaImpiegato,0.773720703125,0.25,0.2,0.2,0.20000000000000004
ServletMostraAccessoA,0.7908007812499999,0,0,0,0
DbComune,0.749365234375,0.5,0.5,0.1111111111111111,0.1818181818181818
ServletEliminaImpiegato,0.8011300223214286,0.14285714285714285,0.14285714285714285,0.5,0.22222222222222224
ServletModificaImpiegato,0.8101013183593749,0.20833333333333331,0.25,0.6666666666666666,0.36363636363636365
ServletModificaAccesso,0.7910531850961539,0.2272727272727273,0.23076923076923078,0.75,0.3529411764705882
Impiegato,0.79049072265625,0.8055555555555555,0.75,0.3333333333333333,0.46153846153846156
ServletEliminaAmministratore,0.7957275390624999,0,0,0,0
ServletInserisciImpiegato,0.792490234375,0.2,0.2,0.5,0.28571428571428575
ServletMostraAccesso,0.7473214285714286,0.24285714285714285,0.2857142857142857,0.4,0.3333333333333333
AdminManager,0.7909877232142858,0.8528571428571429,0.7142857142857143,0.38461538461538464,0.5
Accesso,0.8052490234374998,0.9266666666666665,0.8333333333333334,0.21739130434782608,0.3448275862068966
