code,mean,map,pre,rec,f1
ServletVisualizzaPratiche,0.5994586499673978,0.12878787878787878,0.14285714285714285,0.25,0.18181818181818182
ServletAnnulla,0.6580377399921417,0.8333333333333333,0.5,0.05263157894736842,0.09523809523809525
ServletMostraAccesso,0.5971038237214088,0.11825396825396824,0.15,0.6,0.24
ServletEliminaImpiegato,0.6736155202514247,0.05263157894736842,0.05263157894736842,0.5,0.09523809523809525
Amministratore,0.6043743596971036,0.17165654520917678,0.25,0.8333333333333334,0.3846153846153846
ServletModificaImpiegato,0.5685912916293512,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.125
ControllerFiles,0.5955679978643146,0.41666666666666663,0.14285714285714285,0.3333333333333333,0.2
ServletLogout,0.6511716973036528,0.13075396825396826,0.1875,0.75,0.3
ImpiegatoManager,0.5928519640366238,0.22938311688311688,0.26666666666666666,0.4444444444444444,0.33333333333333337
Impiegato,0.6763696290944752,0.27270433027011975,0.3157894736842105,0.6666666666666666,0.42857142857142855
ServletRicercaImpiegato,0.6553451814149556,0.11666666666666667,0.10526315789473684,0.4,0.16666666666666666
ServletEliminaAmministratore,0.595876373923742,0,0,0,0
DbImpiegato,0.5889410088459649,0.22638888888888886,0.26666666666666666,0.4444444444444444,0.33333333333333337
ServletStatoDiFamiglia,0.6517460969090461,0.1,0.1,0.25,0.14285714285714288
ServletRicercaAmministratore,0.6075949911276499,0.19444444444444442,0.13333333333333333,0.6666666666666666,0.2222222222222222
NucleoFamiliare,0.5838426069571422,0.4828754578754579,0.46153846153846156,0.4,0.42857142857142855
ServletMostraAccessoA,0.751308291355769,0,0,0,0
ServletCaricaPratica,0.6640726462790841,0,0,0,0
Comune,0.5640585597604513,0.31666666666666665,0.125,0.6666666666666666,0.21052631578947367
ServletInserisciImpiegato,0.5643809691948048,0.06666666666666667,0.058823529411764705,0.5,0.10526315789473684
ServletRecuperoPassword,0.6510580804198981,0.1325854700854701,0.1875,0.6,0.2857142857142857
ServletRicercaPratica,0.6428019698928383,0.17310924369747901,0.17647058823529413,0.42857142857142855,0.25
ServletCreaPdfCambioAbitazione,0.6073291651407877,0.07142857142857142,0.06666666666666667,0.3333333333333333,0.1111111111111111
DbCambioResidenza,0.6428721124927204,0.09090909090909091,0.08333333333333333,0.3333333333333333,0.13333333333333333
ServletCreaPdfCittadino,0.6219119374241148,0.10989010989010989,0.14285714285714285,0.5,0.22222222222222224
DbComune,0.6125661904995258,0.12237762237762238,0.15384615384615385,0.2222222222222222,0.18181818181818185
ServletRisposta,0.6262219087435649,0.1991452991452992,0.23076923076923078,0.3333333333333333,0.27272727272727276
Richiesta,0.6531790558780942,0.17826617826617827,0.21428571428571427,0.23076923076923078,0.22222222222222224
ServletModificaCittadino,0.6642690349370242,0.48333333333333334,0.1875,0.42857142857142855,0.26086956521739124
ServletModificaResidenza,0.6518846319271968,0.125,0.07692307692307693,0.3333333333333333,0.125
ServletModificaAccesso,0.6789426589713378,0.20138888888888887,0.17647058823529413,0.75,0.2857142857142857
DbCittadino,0.6325993772347765,0.20036630036630038,0.26666666666666666,0.16666666666666666,0.2051282051282051
CittadinoManager,0.6365512979882103,0.23328754578754576,0.2857142857142857,0.16666666666666666,0.2105263157894737
ServletEliminaCittadino,0.679795040935278,0.06666666666666667,0.0625,0.5,0.1111111111111111
ServletRicercaCittadino,0.6555507874488831,0.5714285714285714,0.13333333333333333,0.25,0.1739130434782609
ServletInserisciCittadino,0.6778157468352999,0.2,0.07142857142857142,0.5,0.125
