code,mean,map,pre,rec,f1
ServletStatoDiFamiglia,0.816372439596388,0.125,0.1111111111111111,0.125,0.11764705882352941
ServletInserisciCittadino,0.8560695608456929,0.25,0.16666666666666666,0.5,0.25
DbNucleoFamiliare,0.8337841260433196,0.6388888888888888,0.6,0.2,0.3
ControllerFiles,0.8121901832520962,0.125,0.125,0.16666666666666666,0.14285714285714288
ServletModificaCittadino,0.8458819646101733,0.34090909090909094,0.15384615384615385,0.2857142857142857,0.2
DbRichiesta,0.8565802426714645,0.2611406624564519,0.3157894736842105,0.46153846153846156,0.37499999999999994
ServletVisualizzaPratiche,0.8372229086028204,0.125,0.1111111111111111,0.125,0.11764705882352941
ServletEliminaCittadino,0.8424307167530061,0.1111111111111111,0.1111111111111111,0.5,0.1818181818181818
CartaIdentita,0.8425449748833974,0.7174482924482926,0.75,0.4090909090909091,0.5294117647058824
DbCartaIdentita,0.8474062524735928,0.8773809523809524,0.75,0.2727272727272727,0.39999999999999997
DbCambioResidenza,0.838993791739146,0,0,0,0
CIManager,0.8437565944411538,0.41914983164983166,0.5454545454545454,0.2727272727272727,0.3636363636363636
ServletCreaPdfCambioAbitazione,0.8338010884248294,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.125
ServletCaricaPratica,0.8622611620596478,0,0,0,0
Cittadino,0.8562188468196176,0.6547979797979798,0.45454545454545453,0.20833333333333334,0.28571428571428575
ServletMostraAccessoA,0.8356051528453827,0,0,0,0
ServletRicercaCittadino,0.8340739595038551,0.23191045066045066,0.2857142857142857,0.5,0.36363636363636365
ServletLogout,0.8370648596021865,0.19444444444444442,0.2222222222222222,0.5,0.30769230769230765
ServletRisposta,0.8505979080994923,0.1736111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222
ImpiegatoManager,0.8656185490744456,0.7333333333333333,0.5714285714285714,0.4444444444444444,0.5
DbCittadino,0.8326413613908431,0.4360315066197419,0.5294117647058824,0.375,0.4390243902439025
ServletRicercaPratica,0.850166912674904,0.18333333333333335,0.2,0.2857142857142857,0.23529411764705882
ServletModificaResidenza,0.8439689194454866,0.12692307692307692,0.11764705882352941,0.6666666666666666,0.2
ServletRicercaImpiegato,0.8703611135482788,0.16666666666666666,0.14285714285714285,0.2,0.16666666666666666
Richiesta,0.8643388678045834,0.4262885923600209,0.4117647058823529,0.5384615384615384,0.4666666666666667
CittadinoManager,0.8566929200116326,0.5967910017542372,0.7058823529411765,0.5,0.5853658536585366
Impiegato,0.8732224477661981,0.4859523809523809,0.5555555555555556,0.5555555555555556,0.5555555555555556
DbImpiegato,0.856143859841607,0.5327380952380952,0.5454545454545454,0.6666666666666666,0.6
Amministratore,0.8352722098429997,0.5,0.5,0.5,0.5
ServletModificaImpiegato,0.8825391941600375,0.29166666666666663,0.2222222222222222,0.6666666666666666,0.3333333333333333
ServletRecuperoPassword,0.8742452899614969,0.3833333333333333,0.5,0.6,0.5454545454545454
