link/art,10%,20%,30%,40%,50%,60%,70%,80%,90%
10%,0.3407,0.3619,0.362,0.3539,0.3198,0.2832,0.2704,0.2971,0.1739
20%,0.3505,0.3749,0.3687,0.3584,0.3203,0.2884,0.2663,0.2899,0.1819
30%,0.361,0.3876,0.3808,0.3587,0.3302,0.2841,0.2624,0.2871,0.1993
40%,0.3767,0.4118,0.3876,0.3601,0.3382,0.2838,0.2659,0.2776,0.2009
50%,0.3975,0.4205,0.3837,0.3743,0.3429,0.2737,0.2774,0.2699,0.1951
60%,0.4097,0.4369,0.3909,0.3759,0.342,0.2781,0.2779,0.2635,0.1991
70%,0.4219,0.4395,0.4058,0.382,0.3292,0.2732,0.2553,0.2778,0.2057
80%,0.4581,0.4529,0.4253,0.3862,0.336,0.2751,0.2708,0.275,0.2032
90%,0.4682,0.4597,0.4376,0.4047,0.3824,0.3076,0.2757,0.271,0.1862
