approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(0.8876|0.8876),(1.0000|0.8246),0.6370,0.3570,0.5873,0.4441
all_code_uc_chains_bge,15%,(0.8876|0.8876),(1.0000|0.8246),0.6522,0.3986,0.5401,0.4587
all_code_uc_chains_bge,10%,(0.8876|0.8876),(1.0000|0.8246),0.6556,0.4628,0.4821,0.4723
all_code_uc_chains_miniLM,20%,(0.9011|0.9213),(1.0000|0.8246),0.6360,0.3108,0.6470,0.4199
all_code_uc_chains_miniLM,15%,(0.9011|0.9213),(1.0000|0.8246),0.6378,0.3855,0.6314,0.4787
all_code_uc_chains_miniLM,10%,(0.9011|0.9213),(1.0000|0.8246),0.6339,0.4401,0.5157,0.4749
all_code_uc_chains_simcse,20%,(0.8804|0.9101),(1.0000|0.8246),0.5584,0.2522,0.5924,0.3538
all_code_uc_chains_simcse,15%,(0.8804|0.9101),(1.0000|0.8246),0.5636,0.2940,0.5246,0.3768
all_code_uc_chains_simcse,10%,(0.8804|0.9101),(1.0000|0.8246),0.5744,0.3494,0.4508,0.3937
weighted_code_uc_chains_bge,20%,(0.8876|0.8876),(1.0000|0.8246),0.6397,0.3517,0.5700,0.4350
weighted_code_uc_chains_bge,15%,(0.8876|0.8876),(1.0000|0.8246),0.6608,0.3791,0.5059,0.4334
weighted_code_uc_chains_bge,10%,(0.8876|0.8876),(1.0000|0.8246),0.6595,0.4390,0.4496,0.4442
weighted_code_uc_chains_miniLM,20%,(0.9011|0.9213),(1.0000|0.8246),0.6253,0.3016,0.6273,0.4074
weighted_code_uc_chains_miniLM,15%,(0.9011|0.9213),(1.0000|0.8246),0.6288,0.3615,0.5919,0.4489
weighted_code_uc_chains_miniLM,10%,(0.9011|0.9213),(1.0000|0.8246),0.6253,0.4309,0.5169,0.4700
weighted_code_uc_chains_simcse,20%,(0.8804|0.9101),(1.0000|0.8246),0.5567,0.2494,0.5831,0.3493
weighted_code_uc_chains_simcse,15%,(0.8804|0.9101),(1.0000|0.8246),0.5633,0.2981,0.5194,0.3788
weighted_code_uc_chains_simcse,10%,(0.8804|0.9101),(1.0000|0.8246),0.5629,0.3444,0.4251,0.3806
