code,mean,map,pre,rec,f1
IDBVisitaBC,nan,0,0,0,0
IDBPreferenzeDiRicerca,nan,0,0,0,0
IDBTurista,0.8759765625,1.0,1.0,0.2857142857142857,0.4444444444444445
DBPreferenzeDiRicerca,nan,0,0,0,0
DBTurista,0.8863932291666666,1.0,0.3333333333333333,0.25,0.28571428571428575
GestioneTuristaClient,0.880126953125,1.0,0.5,0.25,0.3333333333333333
IDBVisitaPR,0.86669921875,1.0,1.0,0.3333333333333333,0.5
TuristiTableModel,nan,0,0,0,0
Turisti,0.8916015625,0,0,0,0
BeanTurista,0.88232421875,1.0,1.0,0.2857142857142857,0.4444444444444445
BeanVisitaPR,nan,0,0,0,0
DBVisitaPR,0.8720703125,1.0,1.0,0.3333333333333333,0.5
IGestioneTuristiAgenzia,nan,0,0,0,0
BeanOperatoreAgenzia,nan,0,0,0,0
IGestioneBeniCulturaliAgenzia,nan,0,0,0,0
GestioneTuristaComune,0.90087890625,1.0,1.0,0.3333333333333333,0.5
IGestioneTagOperatoreAgenzia,nan,0,0,0,0
GestioneAdvertisementAgenzia,nan,0,0,0,0
IDBConvenzione,nan,0,0,0,0
DBNews,nan,0,0,0,0
PuntiDiRistoro,0.89697265625,1.0,1.0,1.0,1.0
IGestionePuntiDiRistoroAgenzia,0.93408203125,0,0,0,0
IDBOperatorePuntoDiRistoro,0.9423828125,0,0,0,0
IGestioneAdvertisementAgenzia,nan,0,0,0,0
IGestioneAdvertisement,0.88525390625,1.0,1.0,0.14285714285714285,0.25
BeanBanner,nan,0,0,0,0
DBBanner,0.8974609375,0.5,0.5,0.25,0.3333333333333333
Banner,0.8994140625,0,0,0,0
IDBBanner,0.897216796875,1.0,1.0,0.3333333333333333,0.5
IDBVisitaBC,nan,0,0,0,0
IDBPreferenzeDiRicerca,nan,0,0,0,0
IDBTurista,0.8759765625,1.0,1.0,0.2857142857142857,0.4444444444444445
DBPreferenzeDiRicerca,nan,0,0,0,0
DBTurista,0.8863932291666666,1.0,0.3333333333333333,0.25,0.28571428571428575
GestioneTuristaClient,0.880126953125,1.0,0.5,0.25,0.3333333333333333
IDBVisitaPR,0.86669921875,1.0,1.0,0.3333333333333333,0.5
TuristiTableModel,nan,0,0,0,0
Turisti,0.8916015625,0,0,0,0
BeanTurista,0.88232421875,1.0,1.0,0.2857142857142857,0.4444444444444445
BeanVisitaPR,nan,0,0,0,0
DBVisitaPR,0.8720703125,1.0,1.0,0.3333333333333333,0.5
IGestioneTuristiAgenzia,nan,0,0,0,0
BeanOperatoreAgenzia,nan,0,0,0,0
IGestioneBeniCulturaliAgenzia,nan,0,0,0,0
GestioneTuristaComune,0.90087890625,1.0,1.0,0.3333333333333333,0.5
IGestioneTagOperatoreAgenzia,nan,0,0,0,0
GestioneAdvertisementAgenzia,nan,0,0,0,0
IDBConvenzione,nan,0,0,0,0
DBNews,nan,0,0,0,0
PuntiDiRistoro,0.89697265625,1.0,1.0,1.0,1.0
IGestionePuntiDiRistoroAgenzia,0.93408203125,0,0,0,0
IDBOperatorePuntoDiRistoro,0.9423828125,0,0,0,0
IGestioneAdvertisementAgenzia,nan,0,0,0,0
IGestioneAdvertisement,0.88525390625,1.0,1.0,0.14285714285714285,0.25
BeanBanner,nan,0,0,0,0
DBBanner,0.8974609375,0.5,0.5,0.25,0.3333333333333333
Banner,0.8994140625,0,0,0,0
IDBBanner,0.897216796875,1.0,1.0,0.3333333333333333,0.5
IDBVisitaBC,nan,0,0,0,0
IDBPreferenzeDiRicerca,nan,0,0,0,0
IDBTurista,0.8759765625,1.0,1.0,0.2857142857142857,0.4444444444444445
DBPreferenzeDiRicerca,nan,0,0,0,0
DBTurista,0.8863932291666666,1.0,0.3333333333333333,0.25,0.28571428571428575
GestioneTuristaClient,0.880126953125,1.0,0.5,0.25,0.3333333333333333
IDBVisitaPR,0.86669921875,1.0,1.0,0.3333333333333333,0.5
TuristiTableModel,nan,0,0,0,0
Turisti,0.8916015625,0,0,0,0
BeanTurista,0.88232421875,1.0,1.0,0.2857142857142857,0.4444444444444445
BeanVisitaPR,nan,0,0,0,0
DBVisitaPR,0.8720703125,1.0,1.0,0.3333333333333333,0.5
IGestioneTuristiAgenzia,nan,0,0,0,0
BeanOperatoreAgenzia,nan,0,0,0,0
IGestioneBeniCulturaliAgenzia,nan,0,0,0,0
GestioneTuristaComune,0.90087890625,1.0,1.0,0.3333333333333333,0.5
IGestioneTagOperatoreAgenzia,nan,0,0,0,0
GestioneAdvertisementAgenzia,nan,0,0,0,0
IDBConvenzione,nan,0,0,0,0
DBNews,nan,0,0,0,0
PuntiDiRistoro,0.89697265625,1.0,1.0,1.0,1.0
IGestionePuntiDiRistoroAgenzia,0.93408203125,0,0,0,0
IDBOperatorePuntoDiRistoro,0.9423828125,0,0,0,0
IGestioneAdvertisementAgenzia,nan,0,0,0,0
IGestioneAdvertisement,0.88525390625,1.0,1.0,0.14285714285714285,0.25
BeanBanner,nan,0,0,0,0
DBBanner,0.8974609375,0.5,0.5,0.25,0.3333333333333333
Banner,0.8994140625,0,0,0,0
IDBBanner,0.897216796875,1.0,1.0,0.3333333333333333,0.5
