code,mean,map,pre,rec,f1
BeanPiatto,0.5712752044200897,1.0,0.5,0.5,0.5
BeanTag,0.5796682834625244,1.0,0.6666666666666666,1.0,0.8
PRNode,0.6229361593723297,0,0,0,0
BannerDialog,0.6293713569641113,0.75,0.4,1.0,0.5714285714285715
GestioneTagComune,0.5257838567097982,0,0,0,0
BeanNews,0.7199143767356873,1.0,1.0,1.0,1.0
Categoria,0.49707330763339996,0,0,0,0
IGestioneTagOperatoreAgenzia,0.5789184123277664,0.5,0.25,1.0,0.4
ControlloDatiAdvertisement,0.5958050489425659,0.7345238095238096,0.8571428571428571,0.6666666666666666,0.75
News,0.6768416166305542,0.5833333333333333,0.6666666666666666,1.0,0.8
BeanMenu,0.7359807938337326,0.25,0.25,0.5,0.3333333333333333
IDBConvenzione,0.5997081100940704,1.0,0.5,0.6666666666666666,0.5714285714285715
BeanPreferenzaDiRicerca,0.5688236157099406,1.0,0.3333333333333333,1.0,0.5
ElencoCategorie,0.5544794797897339,0,0,0,0
GestioneTagOperatoreAgenzia,0.5968742519617081,1.0,0.5,0.6666666666666666,0.5714285714285715
GestioneAdvertisementAgenzia,0.7632558147112528,1.0,1.0,0.5,0.6666666666666666
IGestioneBeniCulturaliAgenzia,0.5756183385848999,0.8666666666666667,0.6,0.75,0.6666666666666665
DBPreferenzeDiRicerca,0.49971915781497955,0.5,0.5,1.0,0.6666666666666666
IDBMenu,0.5830641289552053,1.0,0.3333333333333333,1.0,0.5
BeanBanner,0.7895701676607132,1.0,1.0,0.5714285714285714,0.7272727272727273
DBVisitaBC,0.6672609249750773,0.5,0.3333333333333333,1.0,0.5
DBMenu,0.6613323986530304,0.5,0.25,0.5,0.3333333333333333
IGestionePuntiDiRistoroAgenzia,0.5188839063048363,1.0,0.25,0.16666666666666666,0.2
SchedaPR,0.6224339008331299,0,0,0,0
IDBOperatorePuntoDiRistoro,0.6455499976873398,0,0,0,0
GestionePuntiDiRistoroComune,0.537736543587276,0,0,0,0
ControlloBeniCulturali,0.6261100073655447,0.8333333333333333,0.3333333333333333,1.0,0.5
IDBBeneCulturale,0.5184982657432556,0.25,0.2,1.0,0.33333333333333337
IGestionePuntiDiRistoroComune,0.6184351444244385,0,0,0,0
DBNews,0.720305343468984,0,0,0,0
GestioneBeniCulturaliAgenzia,0.54575448234876,0.95,0.6666666666666666,0.8,0.7272727272727272
FeedBackTableModel,0.6505304574966431,0.3333333333333333,0.3333333333333333,0.5,0.4
IDBPuntoDiRistoro,0.5090891718864441,0,0,0,0
Tag,0.5386251360177994,0,0,0,0
DBBeneCulturale,0.6369075179100037,0.8875,0.6666666666666666,1.0,0.8
GestioneBeniCulturaliComune,0.544737696647644,0,0,0,0
BannerNode,0.637841023504734,1.0,0.5,1.0,0.6666666666666666
SitoTableModel,0.5534627199172973,0.25,0.2,0.3333333333333333,0.25
IGestioneAdvertisementPuntoDiRistoro,0.7175315767526627,1.0,0.25,0.3333333333333333,0.28571428571428575
IDBVisitaBC,0.5113610426584879,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
IGestioneBeniCulturaliComune,0.5965734720230103,0.3333333333333333,0.3333333333333333,0.2,0.25
BeanConvenzione,0.5840138077735901,1.0,0.4,0.6666666666666666,0.5
PuntiDiRistoro,0.627933144569397,0,0,0,0
IRicerca,0.543485701084137,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
DBConvenzione,0.6573429902394613,0,0,0,0
DBOperatorePuntoDiRistoro,0.6658327132463455,0,0,0,0
Banner,0.7243000467618307,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
IGestioneAdvertisementAgenzia,0.564177393913269,0.9428571428571428,0.7142857142857143,0.8333333333333334,0.7692307692307692
BeanOperatorePuntoDiRistoro,0.6706880182027817,0,0,0,0
DBBanner,0.6294197903739082,0.4511904761904762,0.4444444444444444,1.0,0.6153846153846153
BeanPuntoDiRistoro,0.7499753832817078,1.0,1.0,0.6666666666666666,0.8
BeniCulturali,0.567351508885622,1.0,0.625,1.0,0.7692307692307693
IDBNews,0.5921350802694049,1.0,0.42857142857142855,1.0,0.6
IDBPreferenzeDiRicerca,0.5203656355539957,0.5,0.16666666666666666,1.0,0.2857142857142857
GestioneAdvertisement,0.699726939201355,1.0,1.0,0.3333333333333333,0.5
ControlloDati,0.5069637298583984,0,0,0,0
IDBOperatoreAgenzia,0.5635391771793365,1.0,0.14285714285714285,1.0,0.25
DBPuntoDiRistoro,0.5224810183048249,0,0,0,0
GestioneAdvertisementPuntoDiRistoro,0.6320187449455261,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333
IGestioneAdvertisement,0.7976871579885483,1.0,1.0,0.5714285714285714,0.7272727272727273
ControlloVisiteBeniCulturali,0.6945231556892395,1.0,0.75,1.0,0.8571428571428571
BeanVisitaBC,0.6809007972478867,0.3333333333333333,0.25,0.5,0.3333333333333333
GestionePuntiDiRistoroAgenzia,0.5269584767520428,0.41666666666666663,0.25,0.3333333333333333,0.28571428571428575
DBOperatoreAgenzia,0.6134424209594727,1.0,0.3333333333333333,0.5,0.4
IDBBanner,0.7138970891634623,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444
IAutenticazione,0.5856386224428812,0,0,0,0
BeanOperatoreAgenzia,0.6750271320343018,0,0,0,0
DBVisitaPR,0.5292391180992126,0.4666666666666666,0.375,1.0,0.5454545454545454
IDBVisitaPR,0.66747119029363,1.0,1.0,1.0,1.0
OperatoreAgenzia,0.6741685469945272,1.0,0.3333333333333333,0.5,0.4
BeanBeneCulturale,0.6697681844234467,0.75,0.5,0.3333333333333333,0.4
IGestioneTuristiAgenzia,0.5522028207778931,0.8333333333333334,0.375,0.6,0.4615384615384615
BeanVisitaPR,0.7287129610776901,0.3333333333333333,0.25,0.3333333333333333,0.28571428571428575
DBTurista,0.6171599427858988,1.0,0.3333333333333333,0.25,0.28571428571428575
Autenticazione,0.6506191492080688,0,0,0,0
GestioneTuristiAgenzia,0.6397419174512228,0.5,0.3333333333333333,0.25,0.28571428571428575
TuristiTableModel,0.687526598572731,0,0,0,0
GestioneTuristaComune,0.8205418437719345,0.9166666666666666,0.75,0.5,0.6
BeanTurista,0.7922738194465637,1.0,1.0,0.42857142857142855,0.6
Turisti,0.7379396259784698,1.0,0.25,0.5,0.3333333333333333
BeanPiatto,0.5712752044200897,1.0,0.5,0.5,0.5
BeanTag,0.5796682834625244,1.0,0.6666666666666666,1.0,0.8
PRNode,0.6229361593723297,0,0,0,0
BannerDialog,0.6293713569641113,0.75,0.4,1.0,0.5714285714285715
GestioneTagComune,0.5257838567097982,0,0,0,0
BeanNews,0.7199143767356873,1.0,1.0,1.0,1.0
Categoria,0.49707330763339996,0,0,0,0
IGestioneTagOperatoreAgenzia,0.5789184123277664,0.5,0.25,1.0,0.4
ControlloDatiAdvertisement,0.5958050489425659,0.7345238095238096,0.8571428571428571,0.6666666666666666,0.75
News,0.6768416166305542,0.5833333333333333,0.6666666666666666,1.0,0.8
BeanMenu,0.7486792206764221,0,0,0,0
IDBConvenzione,0.5997081100940704,1.0,0.5,0.6666666666666666,0.5714285714285715
BeanPreferenzaDiRicerca,0.5688236157099406,1.0,0.3333333333333333,1.0,0.5
ElencoCategorie,0.5544794797897339,0,0,0,0
GestioneTagOperatoreAgenzia,0.5968742519617081,1.0,0.5,0.6666666666666666,0.5714285714285715
GestioneAdvertisementAgenzia,0.7632558147112528,1.0,1.0,0.5,0.6666666666666666
IGestioneBeniCulturaliAgenzia,0.5756183385848999,0.8666666666666667,0.6,0.75,0.6666666666666665
DBPreferenzeDiRicerca,0.49971915781497955,0.5,0.5,1.0,0.6666666666666666
IDBMenu,0.5830641289552053,1.0,0.3333333333333333,1.0,0.5
BeanBanner,0.7973772883415222,1.0,1.0,0.42857142857142855,0.6
DBVisitaBC,0.6849255561828613,0.5,0.5,1.0,0.6666666666666666
DBMenu,0.6727581818898519,0.5,0.3333333333333333,0.5,0.4
IGestionePuntiDiRistoroAgenzia,0.5188839063048363,1.0,0.25,0.16666666666666666,0.2
SchedaPR,0.6340827941894531,0,0,0,0
