link/art,10%,20%,30%,40%,50%,60%,70%,80%,90%
10%,0.3589,0.3454,0.3156,0.2886,0.2062,0.1915,0.1263,0.0957,0.1
20%,0.36,0.3396,0.3033,0.2713,0.1959,0.1771,0.1263,0.1029,0.1
30%,0.3541,0.3274,0.2891,0.2707,0.1986,0.1747,0.1256,0.0958,0.1
40%,0.339,0.315,0.2783,0.2694,0.1834,0.18,0.1226,0.1213,0.1
50%,0.3154,0.3003,0.2904,0.2493,0.184,0.1653,0.1229,0.1326,0.1
60%,0.3097,0.294,0.2796,0.252,0.1823,0.1525,0.1256,0.1229,0.1
70%,0.2894,0.2944,0.2618,0.2488,0.17,0.1407,0.1478,0.0971,0.1
80%,0.2908,0.2832,0.2639,0.208,0.1738,0.1383,0.1218,0.0625,0.1
90%,0.2503,0.2399,0.212,0.1957,0.1512,0.108,0.0846,0.0967,0.1071
