approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(0.8689|0.7794),(1.0000|0.8209),0.7008,0.5417,0.1878,0.2789
all_code_uc_chains_bge,15%,(0.8689|0.7794),(1.0000|0.8209),0.7105,0.5688,0.1614,0.2515
all_code_uc_chains_bge,10%,(0.8689|0.7794),(1.0000|0.8209),0.7236,0.6002,0.1360,0.2217
all_code_uc_chains_miniLM,20%,(0.8966|0.7647),(1.0000|0.7910),0.6615,0.4634,0.1762,0.2553
all_code_uc_chains_miniLM,15%,(0.8966|0.7647),(1.0000|0.7910),0.6605,0.5126,0.1517,0.2341
all_code_uc_chains_miniLM,10%,(0.8966|0.7647),(1.0000|0.7910),0.6817,0.5336,0.1159,0.1905
all_code_uc_chains_simcse,20%,(0.8947|0.7500),(1.0000|0.8060),0.6629,0.5197,0.2200,0.3092
all_code_uc_chains_simcse,15%,(0.8947|0.7500),(1.0000|0.8060),0.6701,0.5644,0.1863,0.2801
all_code_uc_chains_simcse,10%,(0.8947|0.7500),(1.0000|0.8060),0.6748,0.5781,0.1390,0.2241
weighted_code_uc_chains_bge,20%,(0.8689|0.7794),(1.0000|0.8209),0.7122,0.5495,0.1925,0.2851
weighted_code_uc_chains_bge,15%,(0.8689|0.7794),(1.0000|0.8209),0.7277,0.5837,0.1659,0.2583
weighted_code_uc_chains_bge,10%,(0.8689|0.7794),(1.0000|0.8209),0.7293,0.6149,0.1382,0.2256
weighted_code_uc_chains_miniLM,20%,(0.8966|0.7647),(1.0000|0.7910),0.6565,0.4730,0.1779,0.2586
weighted_code_uc_chains_miniLM,15%,(0.8966|0.7647),(1.0000|0.7910),0.6767,0.5138,0.1506,0.2329
weighted_code_uc_chains_miniLM,10%,(0.8966|0.7647),(1.0000|0.7910),0.6790,0.5432,0.1170,0.1926
weighted_code_uc_chains_simcse,20%,(0.8947|0.7500),(1.0000|0.8060),0.6725,0.5056,0.2131,0.2998
weighted_code_uc_chains_simcse,15%,(0.8947|0.7500),(1.0000|0.8060),0.6813,0.5482,0.1812,0.2724
weighted_code_uc_chains_simcse,10%,(0.8947|0.7500),(1.0000|0.8060),0.6871,0.5796,0.1379,0.2227
