code,mean,map,pre,rec,f1
ServletLoadTeachingList,0.998779296875,1.0,1.0,0.75,0.8571428571428571
RegisterLine,nan,0,0,0,0
ServletInsertNewNote,nan,0,0,0,0
ManagerClassroom,nan,0,0,0,0
ServletShowClassroomManagement,nan,0,0,0,0
ServletInsertClassroom,nan,0,0,0,0
ServletLoadClassByAccademicYear,nan,0,0,0,0
ServletShowClassroomList,0.92041015625,0,0,0,0
ServletLoadTeachingList,0.998779296875,1.0,1.0,0.75,0.8571428571428571
RegisterLine,nan,0,0,0,0
ServletInsertNewNote,nan,0,0,0,0
ManagerClassroom,nan,0,0,0,0
ServletShowClassroomManagement,nan,0,0,0,0
ServletInsertClassroom,nan,0,0,0,0
ServletLoadClassByAccademicYear,nan,0,0,0,0
ServletShowClassroomList,0.92041015625,0,0,0,0
ServletLoadTeachingList,0.998779296875,1.0,1.0,0.75,0.8571428571428571
RegisterLine,nan,0,0,0,0
ServletInsertNewNote,nan,0,0,0,0
ManagerClassroom,nan,0,0,0,0
ServletShowClassroomManagement,nan,0,0,0,0
ServletInsertClassroom,nan,0,0,0,0
ServletLoadClassByAccademicYear,nan,0,0,0,0
ServletShowClassroomList,0.92041015625,0,0,0,0
